"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
"New Zealand Citizen","OCEANIA","2000M04",645,3122
" "," ","2000M05",583,2708
" "," ","2000M06",565,2559
" "," ","2000M07",578,2854
" "," ","2000M08",514,2469
" "," ","2000M09",587,2283
" "," ","2000M10",540,2649
" "," ","2000M11",757,2447
" "," ","2000M12",1276,4248
" "," ","2001M01",946,5999
" "," ","2001M02",667,5633
" "," ","2001M03",687,3006
" "," ","2001M04",694,2730
" "," ","2001M05",587,3438
" "," ","2001M06",663,1857
" "," ","2001M07",669,2023
" "," ","2001M08",629,1712
" "," ","2001M09",672,1756
" "," ","2001M10",729,1639
" "," ","2001M11",822,1728
" "," ","2001M12",1422,2188
" "," ","2002M01",975,3290
" "," ","2002M02",858,2197
" "," ","2002M03",824,2027
" "," ","2002M04",714,2138
" "," ","2002M05",695,1910
" "," ","2002M06",719,1978
" "," ","2002M07",648,1684
" "," ","2002M08",655,1476
" "," ","2002M09",674,1449
" "," ","2002M10",688,1448
" "," ","2002M11",823,1516
" "," ","2002M12",1532,1892
" "," ","2003M01",991,3031
" "," ","2003M02",951,2056
" "," ","2003M03",932,1933
" "," ","2003M04",799,1607
" "," ","2003M05",809,1613
" "," ","2003M06",681,1522
" "," ","2003M07",744,1695
" "," ","2003M08",781,1636
" "," ","2003M09",825,1439
" "," ","2003M10",695,1716
" "," ","2003M11",866,1802
" "," ","2003M12",1576,2354
" "," ","2004M01",1123,3252
" "," ","2004M02",950,2594
" "," ","2004M03",818,2305
" "," ","2004M04",732,1926
" "," ","2004M05",713,2046
" "," ","2004M06",628,1947
" "," ","2004M07",714,1839
" "," ","2004M08",648,1847
" "," ","2004M09",681,1913
" "," ","2004M10",717,2051
" "," ","2004M11",761,2009
" "," ","2004M12",1476,2746
" "," ","2005M01",989,3994
" "," ","2005M02",881,3148
" "," ","2005M03",782,2957
" "," ","2005M04",788,2894
" "," ","2005M05",658,2517
" "," ","2005M06",677,2336
" "," ","2005M07",726,2467
" "," ","2005M08",594,2183
" ","Antarctica","2000M04",0,0
" "," ","2000M05",0,0
" "," ","2000M06",0,0
" "," ","2000M07",0,1
" "," ","2000M08",0,0
" "," ","2000M09",0,0
" "," ","2000M10",0,1
" "," ","2000M11",0,0
" "," ","2000M12",0,0
" "," ","2001M01",0,0
" "," ","2001M02",0,0
" "," ","2001M03",0,0
" "," ","2001M04",0,0
" "," ","2001M05",0,0
" "," ","2001M06",0,0
" "," ","2001M07",0,0
" "," ","2001M08",0,0
" "," ","2001M09",0,0
" "," ","2001M10",0,0
" "," ","2001M11",0,0
" "," ","2001M12",0,0
" "," ","2002M01",0,0
" "," ","2002M02",0,0
" "," ","2002M03",0,0
" "," ","2002M04",0,0
" "," ","2002M05",0,0
" "," ","2002M06",0,0
" "," ","2002M07",0,0
" "," ","2002M08",0,0
" "," ","2002M09",0,0
" "," ","2002M10",0,0
" "," ","2002M11",0,0
" "," ","2002M12",0,0
" "," ","2003M01",0,0
" "," ","2003M02",0,1
" "," ","2003M03",0,0
" "," ","2003M04",0,0
" "," ","2003M05",0,0
" "," ","2003M06",0,0
" "," ","2003M07",0,0
" "," ","2003M08",0,0
" "," ","2003M09",0,0
" "," ","2003M10",0,0
" "," ","2003M11",0,0
" "," ","2003M12",0,0
" "," ","2004M01",0,0
" "," ","2004M02",0,0
" "," ","2004M03",0,0
" "," ","2004M04",0,0
" "," ","2004M05",0,0
" "," ","2004M06",0,0
" "," ","2004M07",0,0
" "," ","2004M08",0,0
" "," ","2004M09",0,0
" "," ","2004M10",0,0
" "," ","2004M11",0,0
" "," ","2004M12",0,0
" "," ","2005M01",0,0
" "," ","2005M02",0,0
" "," ","2005M03",0,0
" "," ","2005M04",0,0
" "," ","2005M05",0,0
" "," ","2005M06",0,0
" "," ","2005M07",0,0
" "," ","2005M08",0,0
" ","Samoa, American","2000M04",0,1
" "," ","2000M05",9,0
" "," ","2000M06",2,1
" "," ","2000M07",0,3
" "," ","2000M08",1,1
" "," ","2000M09",1,0
" "," ","2000M10",6,0
" "," ","2000M11",2,1
" "," ","2000M12",0,3
" "," ","2001M01",0,3
" "," ","2001M02",0,2
" "," ","2001M03",0,9
" "," ","2001M04",1,9
" "," ","2001M05",3,3
" "," ","2001M06",1,2
" "," ","2001M07",0,9
" "," ","2001M08",0,4
" "," ","2001M09",1,5
" "," ","2001M10",1,5
" "," ","2001M11",1,0
" "," ","2001M12",3,0
" "," ","2002M01",5,2
" "," ","2002M02",0,3
" "," ","2002M03",3,3
" "," ","2002M04",2,1
" "," ","2002M05",4,1
" "," ","2002M06",0,1
" "," ","2002M07",6,0
" "," ","2002M08",2,2
" "," ","2002M09",2,1
" "," ","2002M10",1,3
" "," ","2002M11",3,1
" "," ","2002M12",4,6
" "," ","2003M01",0,9
" "," ","2003M02",2,0
" "," ","2003M03",0,6
" "," ","2003M04",3,1
" "," ","2003M05",5,1
" "," ","2003M06",0,1
" "," ","2003M07",3,1
" "," ","2003M08",0,3
" "," ","2003M09",0,1
" "," ","2003M10",6,3
" "," ","2003M11",0,1
" "," ","2003M12",1,9
" "," ","2004M01",2,5
" "," ","2004M02",1,1
" "," ","2004M03",2,3
" "," ","2004M04",1,1
" "," ","2004M05",0,0
" "," ","2004M06",5,5
" "," ","2004M07",4,1
" "," ","2004M08",2,2
" "," ","2004M09",2,0
" "," ","2004M10",1,0
" "," ","2004M11",0,1
" "," ","2004M12",1,0
" "," ","2005M01",0,2
" "," ","2005M02",1,0
" "," ","2005M03",3,2
" "," ","2005M04",3,3
" "," ","2005M05",2,2
" "," ","2005M06",2,0
" "," ","2005M07",5,8
" "," ","2005M08",2,2
" ","Australia","2000M04",564,3031
" "," ","2000M05",480,2643
" "," ","2000M06",451,2486
" "," ","2000M07",479,2748
" "," ","2000M08",436,2406
" "," ","2000M09",519,2233
" "," ","2000M10",472,2578
" "," ","2000M11",609,2354
" "," ","2000M12",1024,4125
" "," ","2001M01",766,5803
" "," ","2001M02",532,5540
" "," ","2001M03",592,2915
" "," ","2001M04",590,2621
" "," ","2001M05",518,3367
" "," ","2001M06",588,1759
" "," ","2001M07",609,1953
" "," ","2001M08",581,1640
" "," ","2001M09",602,1686
" "," ","2001M10",670,1570
" "," ","2001M11",735,1621
" "," ","2001M12",1191,2053
" "," ","2002M01",836,3099
" "," ","2002M02",689,2118
" "," ","2002M03",748,1933
" "," ","2002M04",609,2066
" "," ","2002M05",638,1825
" "," ","2002M06",657,1924
" "," ","2002M07",583,1625
" "," ","2002M08",604,1414
" "," ","2002M09",612,1370
" "," ","2002M10",623,1397
" "," ","2002M11",739,1448
" "," ","2002M12",1272,1800
" "," ","2003M01",785,2892
" "," ","2003M02",804,1957
" "," ","2003M03",850,1835
" "," ","2003M04",719,1552
" "," ","2003M05",732,1547
" "," ","2003M06",611,1470
" "," ","2003M07",674,1590
" "," ","2003M08",690,1587
" "," ","2003M09",749,1351
" "," ","2003M10",617,1640
" "," ","2003M11",783,1713
" "," ","2003M12",1351,2244
" "," ","2004M01",943,3097
" "," ","2004M02",815,2481
" "," ","2004M03",738,2204
" "," ","2004M04",675,1870
" "," ","2004M05",649,1943
" "," ","2004M06",550,1869
" "," ","2004M07",639,1781
" "," ","2004M08",558,1780
" "," ","2004M09",609,1861
" "," ","2004M10",637,1965
