"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","2013M08",0,1
" "," ","2013M09",0,0
" "," ","2013M10",0,0
" "," ","2013M11",0,0
" "," ","2013M12",0,0
" "," ","2014M01",0,0
" "," ","2014M02",0,0
" "," ","2014M03",0,0
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",0,1
" "," ","2014M11",0,0
" "," ","2014M12",1,0
" "," ","2015M01",0,0
" "," ","2015M02",0,0
" "," ","2015M03",0,0
" "," ","2015M04",2,0
" "," ","2015M05",0,0
" "," ","2015M06",0,0
" "," ","2015M07",0,0
" "," ","2015M08",0,1
" "," ","2015M09",0,0
" "," ","2015M10",0,1
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",0,0
" "," ","2016M02",0,0
" "," ","2016M03",1,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",0,0
" ","Samoa, American","2011M02",1,0
" "," ","2011M03",0,0
" "," ","2011M04",0,4
" "," ","2011M05",1,0
" "," ","2011M06",1,0
" "," ","2011M07",2,0
" "," ","2011M08",0,1
" "," ","2011M09",0,1
" "," ","2011M10",2,0
" "," ","2011M11",0,1
" "," ","2011M12",5,0
" "," ","2012M01",5,6
" "," ","2012M02",1,0
" "," ","2012M03",1,0
" "," ","2012M04",0,0
" "," ","2012M05",1,0
" "," ","2012M06",0,0
" "," ","2012M07",0,4
" "," ","2012M08",0,1
" "," ","2012M09",1,1
" "," ","2012M10",2,0
" "," ","2012M11",2,1
" "," ","2012M12",1,3
" "," ","2013M01",5,0
" "," ","2013M02",0,1
" "," ","2013M03",0,0
" "," ","2013M04",1,0
" "," ","2013M05",0,0
" "," ","2013M06",1,0
" "," ","2013M07",0,0
" "," ","2013M08",0,1
" "," ","2013M09",3,2
" "," ","2013M10",1,1
" "," ","2013M11",1,0
" "," ","2013M12",0,2
" "," ","2014M01",1,2
" "," ","2014M02",2,0
" "," ","2014M03",0,0
" "," ","2014M04",1,1
" "," ","2014M05",1,0
" "," ","2014M06",3,4
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",2,2
" "," ","2014M11",0,0
" "," ","2014M12",2,2
" "," ","2015M01",5,0
" "," ","2015M02",1,0
" "," ","2015M03",0,0
" "," ","2015M04",0,0
" "," ","2015M05",0,4
" "," ","2015M06",0,0
" "," ","2015M07",2,0
" "," ","2015M08",0,0
" "," ","2015M09",2,1
" "," ","2015M10",1,0
" "," ","2015M11",0,1
" "," ","2015M12",2,2
" "," ","2016M01",0,2
" "," ","2016M02",0,0
" "," ","2016M03",0,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",6,1
" ","Australia","2011M02",772,3908
" "," ","2011M03",817,4365
" "," ","2011M04",728,3908
" "," ","2011M05",567,3877
" "," ","2011M06",513,3611
" "," ","2011M07",698,3811
" "," ","2011M08",769,3496
" "," ","2011M09",607,3527
" "," ","2011M10",613,3264
" "," ","2011M11",630,3084
" "," ","2011M12",1186,4137
" "," ","2012M01",865,5728
" "," ","2012M02",847,4942
" "," ","2012M03",729,4684
" "," ","2012M04",676,4127
" "," ","2012M05",656,3838
" "," ","2012M06",690,3996
" "," ","2012M07",796,3914
" "," ","2012M08",704,3498
" "," ","2012M09",779,3394
" "," ","2012M10",736,3315
" "," ","2012M11",835,2988
" "," ","2012M12",1418,4421
" "," ","2013M01",1031,5137
" "," ","2013M02",977,4076
" "," ","2013M03",1010,3867
" "," ","2013M04",916,3215
" "," ","2013M05",874,2956
" "," ","2013M06",815,2770
" "," ","2013M07",971,2319
" "," ","2013M08",1087,2229
" "," ","2013M09",1085,1957
" "," ","2013M10",1022,1977
" "," ","2013M11",1088,1956
" "," ","2013M12",1948,2726
" "," ","2014M01",1354,3298
" "," ","2014M02",1367,2565
" "," ","2014M03",1365,2335
" "," ","2014M04",1194,1926
" "," ","2014M05",1237,2062
" "," ","2014M06",1042,1661
" "," ","2014M07",1200,1627
" "," ","2014M08",1166,1507
" "," ","2014M09",1100,1482
" "," ","2014M10",1145,1470
" "," ","2014M11",1263,1502
" "," ","2014M12",2130,2235
" "," ","2015M01",1499,2744
" "," ","2015M02",1360,2236
" "," ","2015M03",1346,2128
" "," ","2015M04",1249,1659
" "," ","2015M05",1240,1658
" "," ","2015M06",1115,1563
" "," ","2015M07",1353,1474
" "," ","2015M08",1291,1421
" "," ","2015M09",1163,1383
" "," ","2015M10",1293,1430
" "," ","2015M11",1346,1353
" "," ","2015M12",2252,2006
" "," ","2016M01",1787,2681
" "," ","2016M02",1440,2015
" "," ","2016M03",1288,1838
" "," ","2016M04",1291,1781
" "," ","2016M05",1175,1513
" "," ","2016M06",1060,1324
" ","Cocos (Keeling) Islands","2011M02",0,0
" "," ","2011M03",0,0
" "," ","2011M04",0,0
" "," ","2011M05",0,0
" "," ","2011M06",0,0
" "," ","2011M07",0,0
" "," ","2011M08",0,0
" "," ","2011M09",0,0
" "," ","2011M10",0,0
" "," ","2011M11",0,0
" "," ","2011M12",0,0
" "," ","2012M01",0,0
" "," ","2012M02",0,0
" "," ","2012M03",0,0
" "," ","2012M04",0,0
" "," ","2012M05",0,0
" "," ","2012M06",0,0
" "," ","2012M07",0,0
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",0,0
" "," ","2012M11",0,0
" "," ","2012M12",0,0
" "," ","2013M01",0,0
" "," ","2013M02",0,0
" "," ","2013M03",0,0
" "," ","2013M04",0,0
" "," ","2013M05",0,0
" "," ","2013M06",0,0
" "," ","2013M07",0,0
" "," ","2013M08",0,0
" "," ","2013M09",0,0
" "," ","2013M10",0,0
" "," ","2013M11",0,0
" "," ","2013M12",0,0
" "," ","2014M01",0,0
" "," ","2014M02",0,0
" "," ","2014M03",0,0
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",0,0
" "," ","2014M11",0,0
" "," ","2014M12",0,0
" "," ","2015M01",0,0
" "," ","2015M02",0,0
" "," ","2015M03",0,0
" "," ","2015M04",0,0
" "," ","2015M05",0,0
" "," ","2015M06",0,0
" "," ","2015M07",0,0
" "," ","2015M08",0,0
" "," ","2015M09",0,0
" "," ","2015M10",0,0
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",0,0
" "," ","2016M02",0,0
" "," ","2016M03",0,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",0,0
" ","Cook Islands","2011M02",71,21
" "," ","2011M03",28,28
" "," ","2011M04",13,24
" "," ","2011M05",36,19
" "," ","2011M06",9,11
" "," ","2011M07",10,24
" "," ","2011M08",19,17
" "," ","2011M09",16,22
" "," ","2011M10",28,21
" "," ","2011M11",18,16
" "," ","2011M12",34,22
" "," ","2012M01",46,47
" "," ","2012M02",58,35
" "," ","2012M03",15,14
" "," ","2012M04",16,15
" "," ","2012M05",12,21
" "," ","2012M06",21,15
" "," ","2012M07",11,27
" "," ","2012M08",21,16
" "," ","2012M09",7,12
" "," ","2012M10",23,14
" "," ","2012M11",7,16
" "," ","2012M12",65,22
" "," ","2013M01",40,52
" "," ","2013M02",60,20
" "," ","2013M03",17,24
" "," ","2013M04",17,19
" "," ","2013M05",11,26
" "," ","2013M06",9,26
" "," ","2013M07",14,9
" "," ","2013M08",14,22
" "," ","2013M09",6,14
" "," ","2013M10",24,15
" "," ","2013M11",16,26
" "," ","2013M12",55,25
" "," ","2014M01",23,47
" "," ","2014M02",44,13
" "," ","2014M03",20,27
" "," ","2014M04",18,8
" "," ","2014M05",27,5
" "," ","2014M06",14,15
" "," ","2014M07",9,19
" "," ","2014M08",11,16
" "," ","2014M09",15,9
" "," ","2014M10",21,18
" "," ","2014M11",16,19
" "," ","2014M12",50,33
" "," ","2015M01",37,34
" "," ","2015M02",36,19
" "," ","2015M03",18,17
" "," ","2015M04",15,10
" "," ","2015M05",20,26
" "," ","2015M06",15,13
" "," ","2015M07",16,34
" "," ","2015M08",26,17
" "," ","2015M09",14,15
" "," ","2015M10",14,22
" "," ","2015M11",18,28
" "," ","2015M12",57,29
" "," ","2016M01",28,34
" "," ","2016M02",48,16
" "," ","2016M03",32,15
" "," ","2016M04",7,27
" "," ","2016M05",10,12
" "," ","2016M06",17,12
" ","Christmas Island","2011M02",0,0
" "," ","2011M03",0,0
" "," ","2011M04",0,0
" "," ","2011M05",0,0
" "," ","2011M06",0,0
" "," ","2011M07",0,0
" "," ","2011M08",0,0
" "," ","2011M09",0,0
" "," ","2011M10",0,0
" "," ","2011M11",0,0
" "," ","2011M12",0,1
" "," ","2012M01",0,0
" "," ","2012M02",0,0
" "," ","2012M03",0,0
" "," ","2012M04",0,0
" "," ","2012M05",0,0
" "," ","2012M06",0,0
" "," ","2012M07",0,0
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",0,0
" "," ","2012M11",0,0
" "," ","2012M12",0,0
" "," ","2013M01",0,0
" "," ","2013M02",0,0
" "," ","2013M03",0,0
" "," ","2013M04",0,0
" "," ","2013M05",0,0
" "," ","2013M06",0,0
" "," ","2013M07",0,0
" "," ","2013M08",0,0
" "," ","2013M09",0,0
" "," ","2013M10",0,0
" "," ","2013M11",0,0
" "," ","2013M12",0,0
" "," ","2014M01",0,0
" "," ","2014M02",0,0
" "," ","2014M03",0,0
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",0,0
" "," ","2014M11",0,0
" "," ","2014M12",0,0
" "," ","2015M01",0,0
" "," ","2015M02",0,0
" "," ","2015M03",0,0
" "," ","2015M04",0,0
" "," ","2015M05",0,0
" "," ","2015M06",0,0
" "," ","2015M07",0,0
" "," ","2015M08",0,0
" "," ","2015M09",0,0
" "," ","2015M10",0,0
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",0,0
" "," ","2016M02",0,0
" "," ","2016M03",0,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",0,0
" ","Fiji","2011M02",6,7
" "," ","2011M03",6,8
" "," ","2011M04",12,8
" "," ","2011M05",12,6
" "," ","2011M06",14,9
" "," ","2011M07",10,6
" "," ","2011M08",8,9
" "," ","2011M09",0,7
" "," ","2011M10",7,6
" "," ","2011M11",5,6
" "," ","2011M12",22,1
" "," ","2012M01",27,12
" "," ","2012M02",8,13
" "," ","2012M03",1,4
" "," ","2012M04",5,11
" "," ","2012M05",5,4
" "," ","2012M06",3,1
" "," ","2012M07",4,6
" "," ","2012M08",4,7
" "," ","2012M09",5,1
" "," ","2012M10",7,1
" "," ","2012M11",4,6
" "," ","2012M12",13,3
" "," ","2013M01",12,24
" "," ","2013M02",8,6
" "," ","2013M03",4,3
" "," ","2013M04",2,12
" "," ","2013M05",5,10
" "," ","2013M06",5,6
" "," ","2013M07",9,12
" "," ","2013M08",13,7
" "," ","2013M09",10,13
" "," ","2013M10",9,7
" "," ","2013M11",4,5
" "," ","2013M12",15,7
" "," ","2014M01",17,8
" "," ","2014M02",2,9
" "," ","2014M03",4,5
" "," ","2014M04",8,6
" "," ","2014M05",2,4
" "," ","2014M06",6,7
" "," ","2014M07",3,11
" "," ","2014M08",5,9
" "," ","2014M09",6,12
" "," ","2014M10",1,12
" "," ","2014M11",11,10
" "," ","2014M12",17,6
" "," ","2015M01",18,14
" "," ","2015M02",9,10
" "," ","2015M03",7,9
" "," ","2015M04",3,8
" "," ","2015M05",11,13
" "," ","2015M06",5,9
" "," ","2015M07",5,8
" "," ","2015M08",5,6
" "," ","2015M09",5,7
" "," ","2015M10",10,9
" "," ","2015M11",19,14
" "," ","2015M12",22,24
" "," ","2016M01",15,14
" "," ","2016M02",11,9
" "," ","2016M03",5,9
" "," ","2016M04",3,6
" "," ","2016M05",6,3
" "," ","2016M06",3,13
" ","Micronesia, Federated States of","2011M02",0,0
" "," ","2011M03",0,0
" "," ","2011M04",0,0
" "," ","2011M05",1,0
" "," ","2011M06",2,0
" "," ","2011M07",0,2
" "," ","2011M08",0,0
" "," ","2011M09",1,0
" "," ","2011M10",0,0
" "," ","2011M11",1,0
" "," ","2011M12",1,0
" "," ","2012M01",0,0
" "," ","2012M02",0,0
" "," ","2012M03",0,0
" "," ","2012M04",0,0
" "," ","2012M05",0,0
" "," ","2012M06",0,0
" "," ","2012M07",0,1
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",0,0
" "," ","2012M11",1,0
" "," ","2012M12",0,0
" "," ","2013M01",0,0
" "," ","2013M02",0,0
" "," ","2013M03",0,1
" "," ","2013M04",0,0
" "," ","2013M05",0,0
" "," ","2013M06",0,0
" "," ","2013M07",0,0
" "," ","2013M08",2,0
" "," ","2013M09",0,0
" "," ","2013M10",1,1
" "," ","2013M11",0,0
" "," ","2013M12",0,0
" "," ","2014M01",0,0
" "," ","2014M02",0,0
" "," ","2014M03",0,0
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",0,0
" "," ","2014M11",0,0
" "," ","2014M12",0,0
" "," ","2015M01",2,0
" "," ","2015M02",0,1
" "," ","2015M03",0,0
" "," ","2015M04",0,0
" "," ","2015M05",0,0
" "," ","2015M06",0,0
" "," ","2015M07",0,0
" "," ","2015M08",0,0
" "," ","2015M09",0,0
" "," ","2015M10",2,0
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",0,0
" "," ","2016M02",0,0
" "," ","2016M03",1,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",0,1
" ","Guam","2011M02",0,2
" "," ","2011M03",0,0
" "," ","2011M04",0,0
" "," ","2011M05",0,1
" "," ","2011M06",0,0
" "," ","2011M07",0,0
" "," ","2011M08",1,1
" "," ","2011M09",0,0
" "," ","2011M10",1,0
" "," ","2011M11",0,0
" "," ","2011M12",0,0
" "," ","2012M01",0,1
" "," ","2012M02",1,1
" "," ","2012M03",0,0
" "," ","2012M04",0,0
" "," ","2012M05",0,0
" "," ","2012M06",0,0
" "," ","2012M07",0,0
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",0,3
" "," ","2012M11",0,0
" "," ","2012M12",0,0
" "," ","2013M01",0,0
" "," ","2013M02",0,0
" "," ","2013M03",0,1
" "," ","2013M04",0,2
" "," ","2013M05",0,1
" "," ","2013M06",0,0
" "," ","2013M07",0,0
" "," ","2013M08",0,0
" "," ","2013M09",0,0
" "," ","2013M10",0,2
" "," ","2013M11",0,0
" "," ","2013M12",0,0
" "," ","2014M01",0,0
" "," ","2014M02",0,0
" "," ","2014M03",0,0
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",0,0
" "," ","2014M11",0,1
" "," ","2014M12",1,1
" "," ","2015M01",1,0
" "," ","2015M02",0,0
" "," ","2015M03",0,0
" "," ","2015M04",1,1
" "," ","2015M05",0,0
" "," ","2015M06",0,0
" "," ","2015M07",0,0
" "," ","2015M08",0,0
" "," ","2015M09",0,0
" "," ","2015M10",0,0
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",0,0
" "," ","2016M02",1,1
" "," ","2016M03",0,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",0,0
" ","Kiribati","2011M02",1,0
" "," ","2011M03",2,0
" "," ","2011M04",0,0
" "," ","2011M05",0,2
" "," ","2011M06",1,0
" "," ","2011M07",1,0
" "," ","2011M08",0,0
" "," ","2011M09",0,0
" "," ","2011M10",1,0
" "," ","2011M11",1,1
" "," ","2011M12",0,0
" "," ","2012M01",0,0
" "," ","2012M02",0,1
" "," ","2012M03",0,0
" "," ","2012M04",0,0
" "," ","2012M05",0,0
" "," ","2012M06",0,1
" "," ","2012M07",0,2
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",0,0
" "," ","2012M11",0,0
" "," ","2012M12",0,0
" "," ","2013M01",0,0
" "," ","2013M02",0,0
" "," ","2013M03",0,0
" "," ","2013M04",2,2
" "," ","2013M05",0,4
" "," ","2013M06",0,0
" "," ","2013M07",0,0
" "," ","2013M08",0,0
" "," ","2013M09",0,0
" "," ","2013M10",0,0
" "," ","2013M11",0,0
" "," ","2013M12",1,1
" "," ","2014M01",1,0
" "," ","2014M02",2,0
" "," ","2014M03",0,0
" "," ","2014M04",1,0
" "," ","2014M05",0,0
" "," ","2014M06",1,1
" "," ","2014M07",1,0
" "," ","2014M08",0,0
" "," ","2014M09",0,1
" "," ","2014M10",1,0
" "," ","2014M11",2,1
" "," ","2014M12",0,1
" "," ","2015M01",0,0
" "," ","2015M02",0,3
" "," ","2015M03",0,0
" "," ","2015M04",0,0
" "," ","2015M05",0,0
" "," ","2015M06",2,1
" "," ","2015M07",1,1
" "," ","2015M08",0,0
" "," ","2015M09",2,2
" "," ","2015M10",0,0
" "," ","2015M11",0,0
" "," ","2015M12",1,0
" "," ","2016M01",0,0
" "," ","2016M02",0,1
" "," ","2016M03",2,1
" "," ","2016M04",0,0
" "," ","2016M05",0,2
" "," ","2016M06",0,3
" ","Marshall Islands","2011M02",0,0
" "," ","2011M03",0,0
" "," ","2011M04",1,2
" "," ","2011M05",1,0
" "," ","2011M06",0,0
" "," ","2011M07",0,0
" "," ","2011M08",0,0
" "," ","2011M09",0,0
" "," ","2011M10",0,0
" "," ","2011M11",1,0
" "," ","2011M12",2,1
" "," ","2012M01",0,5
" "," ","2012M02",0,0
" "," ","2012M03",0,0
" "," ","2012M04",0,1
" "," ","2012M05",0,0
" "," ","2012M06",0,0
" "," ","2012M07",0,0
" "," ","2012M08",1,0
" "," ","2012M09",1,0
" "," ","2012M10",0,1
" "," ","2012M11",0,0
" "," ","2012M12",0,0
" "," ","2013M01",2,0
" "," ","2013M02",0,0
" "," ","2013M03",0,0
" "," ","2013M04",1,0
" "," ","2013M05",0,0
" "," ","2013M06",0,0
" "," ","2013M07",0,0
" "," ","2013M08",0,0
" "," ","2013M09",0,0
" "," ","2013M10",2,0
" "," ","2013M11",0,0
" "," ","2013M12",2,0
" "," ","2014M01",0,0
" "," ","2014M02",0,0
" "," ","2014M03",1,3
" "," ","2014M04",0,0
" "," ","2014M05",0,1
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",2,0
" "," ","2014M11",2,0
" "," ","2014M12",0,0
" "," ","2015M01",0,0
" "," ","2015M02",1,0
" "," ","2015M03",0,0
" "," ","2015M04",0,0
" "," ","2015M05",0,2
" "," ","2015M06",1,0
" "," ","2015M07",0,0
" "," ","2015M08",0,0
" "," ","2015M09",0,1
" "," ","2015M10",0,0
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",0,0
" "," ","2016M02",1,0
" "," ","2016M03",1,1
" "," ","2016M04",0,0
" "," ","2016M05",0,1
" "," ","2016M06",0,0
" ","Northern Mariana Islands","2011M02",0,0
" "," ","2011M03",0,0
" "," ","2011M04",0,0
" "," ","2011M05",0,0
" "," ","2011M06",0,1
" "," ","2011M07",0,0
" "," ","2011M08",0,0
" "," ","2011M09",0,0
" "," ","2011M10",0,0
" "," ","2011M11",0,0
" "," ","2011M12",0,0
" "," ","2012M01",0,0
" "," ","2012M02",0,0
" "," ","2012M03",0,0
" "," ","2012M04",0,0
" "," ","2012M05",0,0
" "," ","2012M06",0,0
" "," ","2012M07",0,0
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",0,0
" "," ","2012M11",0,0
" "," ","2012M12",0,0
" "," ","2013M01",0,0
" "," ","2013M02",0,0
" "," ","2013M03",0,0
" "," ","2013M04",0,0
" "," ","2013M05",0,0
" "," ","2013M06",0,0
" "," ","2013M07",0,0
" "," ","2013M08",0,0
" "," ","2013M09",0,0
" "," ","2013M10",1,0
" "," ","2013M11",0,0
" "," ","2013M12",0,0
" "," ","2014M01",0,0
" "," ","2014M02",0,0
" "," ","2014M03",0,0
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",0,0
" "," ","2014M11",0,0
" "," ","2014M12",0,0
" "," ","2015M01",0,0
" "," ","2015M02",0,0
" "," ","2015M03",0,0
" "," ","2015M04",0,0
" "," ","2015M05",0,0
" "," ","2015M06",0,0
" "," ","2015M07",0,0
" "," ","2015M08",0,0
" "," ","2015M09",0,0
" "," ","2015M10",0,0
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",0,0
" "," ","2016M02",0,0
" "," ","2016M03",0,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",0,0
" ","New Caledonia","2011M02",0,0
" "," ","2011M03",0,3
" "," ","2011M04",0,0
" "," ","2011M05",0,2
" "," ","2011M06",0,4
" "," ","2011M07",4,0
" "," ","2011M08",0,1
" "," ","2011M09",1,0
" "," ","2011M10",0,0
" "," ","2011M11",0,0
" "," ","2011M12",6,0
" "," ","2012M01",1,0
" "," ","2012M02",1,2
" "," ","2012M03",1,2
" "," ","2012M04",4,0
" "," ","2012M05",2,0
" "," ","2012M06",0,0
" "," ","2012M07",1,1
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",0,1
" "," ","2012M11",2,0
" "," ","2012M12",0,0
" "," ","2013M01",0,4
" "," ","2013M02",0,0
" "," ","2013M03",1,0
" "," ","2013M04",0,0
" "," ","2013M05",2,3
" "," ","2013M06",0,1
" "," ","2013M07",0,1
" "," ","2013M08",0,0
" "," ","2013M09",0,0
" "," ","2013M10",2,0
" "," ","2013M11",0,0
" "," ","2013M12",2,0
" "," ","2014M01",1,1
" "," ","2014M02",1,3
" "," ","2014M03",0,1
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",0,0
" "," ","2014M07",0,0
" "," ","2014M08",0,0
" "," ","2014M09",0,1
" "," ","2014M10",1,0
" "," ","2014M11",1,0
" "," ","2014M12",4,0
" "," ","2015M01",4,1
" "," ","2015M02",0,1
" "," ","2015M03",1,0
" "," ","2015M04",1,0
" "," ","2015M05",0,1
" "," ","2015M06",0,0
" "," ","2015M07",0,1
" "," ","2015M08",0,0
" "," ","2015M09",0,1
" "," ","2015M10",0,0
" "," ","2015M11",0,0
" "," ","2015M12",0,0
" "," ","2016M01",4,0
" "," ","2016M02",0,0
" "," ","2016M03",1,0
" "," ","2016M04",0,0
" "," ","2016M05",0,0
" "," ","2016M06",0,0
" ","Norfolk Island","2011M02",0,0
" "," ","2011M03",1,2
" "," ","2011M04",1,1
" "," ","2011M05",3,0
" "," ","2011M06",0,0
" "," ","2011M07",2,0
" "," ","2011M08",1,0
" "," ","2011M09",2,0
" "," ","2011M10",0,0
" "," ","2011M11",0,1
" "," ","2011M12",0,1
" "," ","2012M01",1,3
" "," ","2012M02",4,2
" "," ","2012M03",0,3
" "," ","2012M04",1,0
" "," ","2012M05",1,0
" "," ","2012M06",4,2
" "," ","2012M07",0,0
" "," ","2012M08",0,1
" "," ","2012M09",1,0
" "," ","2012M10",0,0
" "," ","2012M11",0,0
" "," ","2012M12",0,2
" "," ","2013M01",1,0
" "," ","2013M02",0,0
" "," ","2013M03",0,0
" "," ","2013M04",2,1
" "," ","2013M05",0,4
" "," ","2013M06",0,0
" "," ","2013M07",1,2
" "," ","2013M08",0,0
" "," ","2013M09",1,1
" "," ","2013M10",0,0
" "," ","2013M11",0,0
" "," ","2013M12",4,1
" "," ","2014M01",5,1
" "," ","2014M02",0,1
" "," ","2014M03",0,1
" "," ","2014M04",0,0
" "," ","2014M05",0,0
" "," ","2014M06",2,0
" "," ","2014M07",0,2
" "," ","2014M08",0,0
" "," ","2014M09",0,0
" "," ","2014M10",0,0
" "," ","2014M11",0,0
" "," ","2014M12",1,0
" "," ","2015M01",0,0
" "," ","2015M02",0,0
" "," ","2015M03",2,0
" "," ","2015M04",0,0
" "," ","2015M05",1,0
" "," ","2015M06",0,3
" "," ","2015M07",0,0
" "," ","2015M08",1,1
" "," ","2015M09",1,0
" "," ","2015M10",0,1
" "," ","2015M11",0,0
" "," ","2015M12",0,2
" "," ","2016M01",0,0
