"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
"New Zealand Citizen","OCEANIA","2011M02",916,3982
" "," ","2011M03",904,4440
" "," ","2011M04",797,3991
" "," ","2011M05",653,3948
" "," ","2011M06",579,3672
" "," ","2011M07",758,3874
" "," ","2011M08",840,3577
" "," ","2011M09",665,3585
" "," ","2011M10",693,3330
" "," ","2011M11",688,3138
" "," ","2011M12",1371,4222
" "," ","2012M01",1005,5868
" "," ","2012M02",1037,5037
" "," ","2012M03",792,4756
" "," ","2012M04",745,4185
" "," ","2012M05",712,3901
" "," ","2012M06",747,4041
" "," ","2012M07",854,4008
" "," ","2012M08",779,3553
" "," ","2012M09",838,3438
" "," ","2012M10",804,3364
" "," ","2012M11",904,3043
" "," ","2012M12",1610,4497
" "," ","2013M01",1171,5307
" "," ","2013M02",1143,4157
" "," ","2013M03",1078,3928
" "," ","2013M04",974,3292
" "," ","2013M05",924,3052
" "," ","2013M06",857,2851
" "," ","2013M07",1021,2386
" "," ","2013M08",1146,2290
" "," ","2013M09",1146,2029
" "," ","2013M10",1101,2045
" "," ","2013M11",1146,2013
" "," ","2013M12",2141,2820
" "," ","2014M01",1463,3432
" "," ","2014M02",1507,2623
" "," ","2014M03",1434,2406
" "," ","2014M04",1264,1967
" "," ","2014M05",1311,2104
" "," ","2014M06",1107,1745
" "," ","2014M07",1250,1685
" "," ","2014M08",1223,1568
" "," ","2014M09",1160,1536
" "," ","2014M10",1210,1540
" "," ","2014M11",1356,1575
" "," ","2014M12",2337,2319
" "," ","2015M01",1647,2877
" "," ","2015M02",1513,2298
" "," ","2015M03",1441,2197
" "," ","2015M04",1310,1719
" "," ","2015M05",1311,1730
" "," ","2015M06",1179,1612
" "," ","2015M07",1399,1535
" "," ","2015M08",1375,1486
" "," ","2015M09",1230,1440
" "," ","2015M10",1355,1504
" "," ","2015M11",1417,1419
" "," ","2015M12",2464,2102
" "," ","2016M01",1932,2808
" "," ","2016M02",1627,2097
" "," ","2016M03",1387,1894
" "," ","2016M04",1340,1843
" "," ","2016M05",1236,1555
" "," ","2016M06",1134,1387
" ","Antarctica","2011M02",0,0
" "," ","2011M03",0,0
" "," ","2011M04",0,0
" "," ","2011M05",0,0
" "," ","2011M06",0,0
" "," ","2011M07",0,0
" "," ","2011M08",0,1
" "," ","2011M09",0,0
" "," ","2011M10",0,0
" "," ","2011M11",0,0
" "," ","2011M12",0,0
" "," ","2012M01",0,0
" "," ","2012M02",0,0
" "," ","2012M03",0,0
" "," ","2012M04",0,0
" "," ","2012M05",0,0
" "," ","2012M06",0,0
" "," ","2012M07",0,0
" "," ","2012M08",0,0
" "," ","2012M09",0,0
" "," ","2012M10",1,0
" "," ","2012M11",0,0
" "," ","2012M12",0,0
" "," ","2013M01",0,0
" "," ","2013M02",0,0
" "," ","2013M03",0,0
" "," ","2013M04",0,0
" "," ","2013M05",0,0
" "," ","2013M06",0,0
" "," ","2013M07",0,0
