"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
"New Zealand Citizen","OCEANIA","1984M01",1340,1698
" "," ","1984M02",1084,1549
" "," ","1984M03",968,1554
" "," ","1984M04",890,1445
" "," ","1984M05",894,1612
" "," ","1984M06",788,1475
" "," ","1984M07",738,1429
" "," ","1984M08",698,1488
" "," ","1984M09",782,1462
" "," ","1984M10",796,1473
" "," ","1984M11",902,1441
" "," ","1984M12",1893,1912
" "," ","1985M01",1139,2652
" "," ","1985M02",776,2534
" "," ","1985M03",851,2920
" "," ","1985M04",680,2638
" "," ","1985M05",760,2557
" "," ","1985M06",588,2588
" "," ","1985M07",530,2381
" "," ","1985M08",722,2397
" "," ","1985M09",682,2407
" "," ","1985M10",652,2136
" "," ","1985M11",786,2492
" "," ","1985M12",1508,2514
" "," ","1986M01",1072,3782
" "," ","1986M02",828,3151
" "," ","1986M03",791,3662
" "," ","1986M04",783,3111
" "," ","1986M05",814,3159
" "," ","1986M06",658,3038
" "," ","1986M07",729,2620
" "," ","1986M08",811,2985
" "," ","1986M09",752,2654
" "," ","1986M10",812,2395
" "," ","1986M11",949,2266
" "," ","1986M12",1860,2416
" "," ","1987M01",1241,3391
" "," ","1987M02",1150,2764
" "," ","1987M03",1096,2919
" "," ","1987M04",831,2833
" "," ","1987M05",1053,2898
" "," ","1987M06",796,2447
" "," ","1987M07",827,2336
" "," ","1987M08",913,2610
" "," ","1987M09",833,2838
" "," ","1987M10",1002,2970
" "," ","1987M11",1021,2787
" "," ","1987M12",1808,3072
" "," ","1988M01",1288,4513
" "," ","1988M02",1022,3949
" "," ","1988M03",838,3951
" "," ","1988M04",768,3797
" "," ","1988M05",798,3362
" "," ","1988M06",669,3266
" "," ","1988M07",796,3319
" "," ","1988M08",653,3134
" "," ","1988M09",746,3559
" "," ","1988M10",743,3612
" "," ","1988M11",837,3079
" "," ","1988M12",1658,3839
" "," ","1989M01",1075,4674
" "," ","1989M02",1030,3856
" "," ","1989M03",881,3677
" "," ","1989M04",875,3594
" "," ","1989M05",846,3055
" ","Antarctica","1984M01",0,1
" "," ","1984M02",0,0
" "," ","1984M03",0,0
" "," ","1984M04",1,0
" "," ","1984M05",0,0
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",7,9
" "," ","1984M11",1,0
" "," ","1984M12",0,0
" "," ","1985M01",0,0
" "," ","1985M02",0,0
" "," ","1985M03",1,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,0
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,0
" "," ","1985M10",7,6
" "," ","1985M11",0,0
" "," ","1985M12",0,0
" "," ","1986M01",0,0
" "," ","1986M02",0,0
" "," ","1986M03",0,0
" "," ","1986M04",0,0
" "," ","1986M05",0,0
" "," ","1986M06",0,0
" "," ","1986M07",0,0
" "," ","1986M08",0,0
" "," ","1986M09",0,0
" "," ","1986M10",9,7
" "," ","1986M11",0,0
" "," ","1986M12",0,0
" "," ","1987M01",0,2
" "," ","1987M02",0,0
" "," ","1987M03",0,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,0
" "," ","1987M08",0,0
" "," ","1987M09",0,0
" "," ","1987M10",17,6
" "," ","1987M11",0,1
" "," ","1987M12",0,0
" "," ","1988M01",0,0
" "," ","1988M02",0,0
" "," ","1988M03",1,0
" "," ","1988M04",0,0
" "," ","1988M05",1,0
" "," ","1988M06",0,0
" "," ","1988M07",0,0
" "," ","1988M08",2,0
" "," ","1988M09",0,0
" "," ","1988M10",11,9
" "," ","1988M11",0,0
" "," ","1988M12",0,1
" "," ","1989M01",0,0
" "," ","1989M02",3,0
" "," ","1989M03",0,0
" "," ","1989M04",0,0
" "," ","1989M05",0,0
" ","Samoa, American","1984M01",1,1
" "," ","1984M02",0,3
" "," ","1984M03",2,2
" "," ","1984M04",1,1
" "," ","1984M05",0,4
" "," ","1984M06",4,0
" "," ","1984M07",2,1
" "," ","1984M08",0,7
" "," ","1984M09",0,0
" "," ","1984M10",0,0
" "," ","1984M11",0,2
" "," ","1984M12",0,1
" "," ","1985M01",3,0
" "," ","1985M02",0,1
" "," ","1985M03",2,2
" "," ","1985M04",0,0
" "," ","1985M05",2,0
" "," ","1985M06",0,5
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,0
" "," ","1985M10",0,0
" "," ","1985M11",2,0
" "," ","1985M12",0,0
" "," ","1986M01",4,9
" "," ","1986M02",11,0
" "," ","1986M03",3,0
" "," ","1986M04",1,0
" "," ","1986M05",0,2
" "," ","1986M06",1,0
" "," ","1986M07",1,4
" "," ","1986M08",0,2
" "," ","1986M09",0,0
" "," ","1986M10",1,1
" "," ","1986M11",0,4
" "," ","1986M12",0,0
" "," ","1987M01",3,1
" "," ","1987M02",7,0
" "," ","1987M03",3,0
" "," ","1987M04",1,0
" "," ","1987M05",1,6
" "," ","1987M06",0,0
" "," ","1987M07",2,1
" "," ","1987M08",1,9
" "," ","1987M09",2,1
" "," ","1987M10",1,0
" "," ","1987M11",4,0
" "," ","1987M12",2,2
" "," ","1988M01",1,9
" "," ","1988M02",0,0
" "," ","1988M03",2,4
" "," ","1988M04",0,3
" "," ","1988M05",4,3
" "," ","1988M06",8,1
" "," ","1988M07",2,5
" "," ","1988M08",8,4
" "," ","1988M09",1,1
" "," ","1988M10",1,1
" "," ","1988M11",0,14
" "," ","1988M12",7,6
" "," ","1989M01",2,8
" "," ","1989M02",0,1
" "," ","1989M03",1,1
" "," ","1989M04",3,1
" "," ","1989M05",1,8
" ","Australia","1984M01",962,1362
" "," ","1984M02",839,1302
" "," ","1984M03",781,1242
" "," ","1984M04",725,1209
" "," ","1984M05",686,1309
" "," ","1984M06",610,1236
" "," ","1984M07",533,1218
" "," ","1984M08",522,1309
" "," ","1984M09",561,1276
" "," ","1984M10",578,1315
" "," ","1984M11",672,1277
" "," ","1984M12",1275,1646
" "," ","1985M01",739,2242
" "," ","1985M02",520,2221
" "," ","1985M03",649,2614
" "," ","1985M04",499,2375
" "," ","1985M05",569,2277
" "," ","1985M06",432,2320
" "," ","1985M07",441,2190
" "," ","1985M08",577,2146
" "," ","1985M09",470,2265
" "," ","1985M10",470,1969
" "," ","1985M11",568,2239
" "," ","1985M12",1031,2294
" "," ","1986M01",706,3329
" "," ","1986M02",580,2893
" "," ","1986M03",603,3329
" "," ","1986M04",612,2814
" "," ","1986M05",596,2872
" "," ","1986M06",486,2785
" "," ","1986M07",510,2411
" "," ","1986M08",600,2733
" "," ","1986M09",516,2415
" "," ","1986M10",676,2223
" "," ","1986M11",797,2053
" "," ","1986M12",1468,2193
" "," ","1987M01",944,2976
" "," ","1987M02",934,2608
" "," ","1987M03",933,2693
" "," ","1987M04",700,2537
" "," ","1987M05",833,2647
" "," ","1987M06",680,2206
" "," ","1987M07",695,2161
" "," ","1987M08",763,2442
" "," ","1987M09",700,2662
" "," ","1987M10",838,2762
" "," ","1987M11",762,2543
" "," ","1987M12",1252,2857
" "," ","1988M01",862,4090
" "," ","1988M02",797,3681
" "," ","1988M03",637,3752
" "," ","1988M04",578,3673
" "," ","1988M05",603,3244
" "," ","1988M06",500,3029
" "," ","1988M07",602,3161
" "," ","1988M08",442,2888
" "," ","1988M09",597,3339
" "," ","1988M10",528,3364
" "," ","1988M11",613,2870
" "," ","1988M12",1201,3508
" "," ","1989M01",758,4266
" "," ","1989M02",764,3620
" "," ","1989M03",728,3450
" "," ","1989M04",723,3308
" "," ","1989M05",726,2781
" ","Cocos (Keeling) Islands","1984M01",0,0
" "," ","1984M02",0,0
" "," ","1984M03",0,0
" "," ","1984M04",0,0
" "," ","1984M05",0,0
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",0,0
" "," ","1984M11",0,0
" "," ","1984M12",0,0
" "," ","1985M01",0,0
" "," ","1985M02",0,0
" "," ","1985M03",0,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,0
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,0
" "," ","1985M10",0,0
" "," ","1985M11",0,0
" "," ","1985M12",0,0
" "," ","1986M01",0,0
" "," ","1986M02",0,0
" "," ","1986M03",0,0
" "," ","1986M04",0,0
" "," ","1986M05",0,0
" "," ","1986M06",0,0
" "," ","1986M07",0,0
