"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","1986M08",0,0
" "," ","1986M09",0,0
" "," ","1986M10",0,0
" "," ","1986M11",0,0
" "," ","1986M12",0,0
" "," ","1987M01",0,0
" "," ","1987M02",0,0
" "," ","1987M03",0,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,0
" "," ","1987M08",0,0
" "," ","1987M09",0,0
" "," ","1987M10",0,0
" "," ","1987M11",0,0
" "," ","1987M12",0,0
" "," ","1988M01",0,0
" "," ","1988M02",0,0
" "," ","1988M03",0,0
" "," ","1988M04",0,0
" "," ","1988M05",0,0
" "," ","1988M06",0,0
" "," ","1988M07",0,0
" "," ","1988M08",0,0
" "," ","1988M09",0,0
" "," ","1988M10",0,0
" "," ","1988M11",0,0
" "," ","1988M12",0,0
" "," ","1989M01",0,0
" "," ","1989M02",0,0
" "," ","1989M03",0,0
" "," ","1989M04",0,0
" "," ","1989M05",0,1
" ","Cook Islands","1984M01",31,65
" "," ","1984M02",21,22
" "," ","1984M03",25,43
" "," ","1984M04",22,14
" "," ","1984M05",18,12
" "," ","1984M06",8,19
" "," ","1984M07",9,21
" "," ","1984M08",20,22
" "," ","1984M09",25,13
" "," ","1984M10",16,22
" "," ","1984M11",18,27
" "," ","1984M12",62,29
" "," ","1985M01",24,45
" "," ","1985M02",41,23
" "," ","1985M03",26,12
" "," ","1985M04",20,17
" "," ","1985M05",7,7
" "," ","1985M06",19,30
" "," ","1985M07",4,16
" "," ","1985M08",7,21
" "," ","1985M09",22,21
" "," ","1985M10",17,10
" "," ","1985M11",21,27
" "," ","1985M12",32,22
" "," ","1986M01",17,57
" "," ","1986M02",20,24
" "," ","1986M03",22,21
" "," ","1986M04",23,22
" "," ","1986M05",24,28
" "," ","1986M06",27,30
" "," ","1986M07",10,29
" "," ","1986M08",20,28
" "," ","1986M09",29,14
" "," ","1986M10",32,23
" "," ","1986M11",34,23
" "," ","1986M12",72,45
" "," ","1987M01",49,52
" "," ","1987M02",54,23
" "," ","1987M03",37,20
" "," ","1987M04",27,17
" "," ","1987M05",32,28
" "," ","1987M06",19,29
" "," ","1987M07",22,18
" "," ","1987M08",30,20
" "," ","1987M09",21,16
" "," ","1987M10",18,24
" "," ","1987M11",14,21
" "," ","1987M12",67,31
" "," ","1988M01",59,69
" "," ","1988M02",36,14
" "," ","1988M03",21,21
" "," ","1988M04",10,26
" "," ","1988M05",21,24
" "," ","1988M06",12,19
" "," ","1988M07",12,35
" "," ","1988M08",24,28
" "," ","1988M09",20,29
" "," ","1988M10",18,33
" "," ","1988M11",16,31
" "," ","1988M12",32,29
" "," ","1989M01",22,37
" "," ","1989M02",42,24
" "," ","1989M03",23,23
" "," ","1989M04",15,22
" "," ","1989M05",19,28
" ","Christmas Island","1984M01",0,0
" "," ","1984M02",0,0
" "," ","1984M03",0,0
" "," ","1984M04",0,0
" "," ","1984M05",0,0
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",0,0
" "," ","1984M11",0,0
" "," ","1984M12",0,0
" "," ","1985M01",0,0
" "," ","1985M02",0,0
" "," ","1985M03",0,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,0
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,0
" "," ","1985M10",0,0
" "," ","1985M11",0,0
" "," ","1985M12",0,0
" "," ","1986M01",0,0
" "," ","1986M02",0,0
" "," ","1986M03",0,0
" "," ","1986M04",0,0
" "," ","1986M05",0,0
" "," ","1986M06",0,0
" "," ","1986M07",0,0
" "," ","1986M08",0,0
" "," ","1986M09",0,0
" "," ","1986M10",0,0
" "," ","1986M11",0,0
" "," ","1986M12",0,0
" "," ","1987M01",0,0
" "," ","1987M02",0,0
" "," ","1987M03",0,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,0
" "," ","1987M08",0,0
" "," ","1987M09",0,0
" "," ","1987M10",0,0
" "," ","1987M11",0,0
" "," ","1987M12",0,0
" "," ","1988M01",0,0
" "," ","1988M02",0,0
" "," ","1988M03",0,0
" "," ","1988M04",0,0
" "," ","1988M05",0,0
" "," ","1988M06",0,0
" "," ","1988M07",0,0
" "," ","1988M08",0,0
" "," ","1988M09",0,0
" "," ","1988M10",0,0
" "," ","1988M11",0,0
" "," ","1988M12",0,0
" "," ","1989M01",0,0
" "," ","1989M02",0,0
" "," ","1989M03",0,0
" "," ","1989M04",0,0
" "," ","1989M05",0,0
" ","Fiji","1984M01",66,62
" "," ","1984M02",10,15
" "," ","1984M03",13,14
" "," ","1984M04",5,10
" "," ","1984M05",15,18
" "," ","1984M06",10,13
" "," ","1984M07",17,12
" "," ","1984M08",15,8
" "," ","1984M09",13,10
" "," ","1984M10",11,7
" "," ","1984M11",20,4
" "," ","1984M12",58,13
" "," ","1985M01",40,34
" "," ","1985M02",31,17
" "," ","1985M03",30,11
" "," ","1985M04",16,15
" "," ","1985M05",12,32
" "," ","1985M06",22,11
" "," ","1985M07",9,8
" "," ","1985M08",36,23
" "," ","1985M09",13,6
" "," ","1985M10",13,8
" "," ","1985M11",8,23
" "," ","1985M12",46,25
" "," ","1986M01",47,50
" "," ","1986M02",19,21
" "," ","1986M03",12,29
" "," ","1986M04",9,10
" "," ","1986M05",10,7
" "," ","1986M06",4,20
" "," ","1986M07",11,16
" "," ","1986M08",6,17
" "," ","1986M09",29,8
" "," ","1986M10",10,15
" "," ","1986M11",15,17
" "," ","1986M12",37,18
" "," ","1987M01",57,59
" "," ","1987M02",14,18
" "," ","1987M03",11,35
" "," ","1987M04",12,26
" "," ","1987M05",71,12
" "," ","1987M06",26,18
" "," ","1987M07",17,16
" "," ","1987M08",31,8
" "," ","1987M09",25,4
" "," ","1987M10",39,17
" "," ","1987M11",24,7
" "," ","1987M12",42,11
" "," ","1988M01",33,31
" "," ","1988M02",19,4
" "," ","1988M03",15,7
" "," ","1988M04",9,14
" "," ","1988M05",9,10
" "," ","1988M06",9,17
" "," ","1988M07",25,16
" "," ","1988M08",14,10
" "," ","1988M09",10,20
" "," ","1988M10",5,7
" "," ","1988M11",24,23
" "," ","1988M12",32,24
" "," ","1989M01",28,33
" "," ","1989M02",14,11
" "," ","1989M03",11,22
" "," ","1989M04",9,15
" "," ","1989M05",6,17
" ","Micronesia, Federated States of","1984M01",0,0
" "," ","1984M02",1,0
" "," ","1984M03",0,0
" "," ","1984M04",0,0
" "," ","1984M05",0,1
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",0,0
" "," ","1984M11",1,0
" "," ","1984M12",0,0
" "," ","1985M01",0,0
" "," ","1985M02",0,0
" "," ","1985M03",0,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,1
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,0
" "," ","1985M10",2,0
" "," ","1985M11",0,0
" "," ","1985M12",1,1
" "," ","1986M01",0,1
" "," ","1986M02",0,0
" "," ","1986M03",0,2
" "," ","1986M04",1,1
" "," ","1986M05",0,0
" "," ","1986M06",0,2
" "," ","1986M07",0,0
" "," ","1986M08",0,2
" "," ","1986M09",0,0
" "," ","1986M10",0,2
" "," ","1986M11",0,2
" "," ","1986M12",0,5
" "," ","1987M01",1,0
" "," ","1987M02",0,0
" "," ","1987M03",0,0
" "," ","1987M04",0,1
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,1
" "," ","1987M08",0,0
" "," ","1987M09",0,1
" "," ","1987M10",0,0
" "," ","1987M11",0,0
" "," ","1987M12",0,0
" "," ","1988M01",0,0
" "," ","1988M02",0,0
" "," ","1988M03",0,0
" "," ","1988M04",0,0
" "," ","1988M05",0,0
" "," ","1988M06",0,0
" "," ","1988M07",0,0
" "," ","1988M08",0,1
" "," ","1988M09",0,0
" "," ","1988M10",0,0
" "," ","1988M11",0,0
" "," ","1988M12",0,0
" "," ","1989M01",0,0
" "," ","1989M02",0,0
" "," ","1989M03",0,0
" "," ","1989M04",0,0
" "," ","1989M05",0,0
" ","Guam","1984M01",0,0
" "," ","1984M02",0,0
" "," ","1984M03",0,0
" "," ","1984M04",0,0
" "," ","1984M05",0,0
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",0,0
" "," ","1984M11",0,0
" "," ","1984M12",0,0
" "," ","1985M01",1,0
" "," ","1985M02",0,0
" "," ","1985M03",0,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,0
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,1
" "," ","1985M10",0,0
" "," ","1985M11",0,0
" "," ","1985M12",0,0
" "," ","1986M01",0,1
" "," ","1986M02",2,1
" "," ","1986M03",0,0
" "," ","1986M04",0,0
" "," ","1986M05",0,0
" "," ","1986M06",0,0
" "," ","1986M07",0,0
" "," ","1986M08",0,0
" "," ","1986M09",0,0
" "," ","1986M10",0,0
" "," ","1986M11",0,0
" "," ","1986M12",0,0
" "," ","1987M01",0,0
" "," ","1987M02",0,0
" "," ","1987M03",0,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,4
" "," ","1987M08",0,0
" "," ","1987M09",0,0
" "," ","1987M10",0,0
" "," ","1987M11",0,0
" "," ","1987M12",1,0
" "," ","1988M01",0,0
" "," ","1988M02",0,0
" "," ","1988M03",0,0
" "," ","1988M04",1,0
" "," ","1988M05",0,0
" "," ","1988M06",1,0
" "," ","1988M07",0,2
" "," ","1988M08",0,0
" "," ","1988M09",0,0
" "," ","1988M10",0,0
" "," ","1988M11",0,0
" "," ","1988M12",0,0
" "," ","1989M01",0,0
" "," ","1989M02",0,0
" "," ","1989M03",0,0
" "," ","1989M04",0,0
" "," ","1989M05",1,0
" ","Kiribati","1984M01",1,0
" "," ","1984M02",1,0
" "," ","1984M03",0,0
" "," ","1984M04",1,0
" "," ","1984M05",0,0
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",0,1
" "," ","1984M11",0,1
" "," ","1984M12",9,2
" "," ","1985M01",1,0
" "," ","1985M02",0,0
" "," ","1985M03",0,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,0
" "," ","1985M07",0,0
" "," ","1985M08",5,6
" "," ","1985M09",1,3
" "," ","1985M10",0,0
" "," ","1985M11",0,0
" "," ","1985M12",1,1
" "," ","1986M01",0,2
" "," ","1986M02",1,0
" "," ","1986M03",0,4
" "," ","1986M04",0,7
" "," ","1986M05",0,3
" "," ","1986M06",0,0
" "," ","1986M07",0,1
" "," ","1986M08",0,0
" "," ","1986M09",3,6
" "," ","1986M10",0,1
" "," ","1986M11",0,0
" "," ","1986M12",1,1
" "," ","1987M01",1,2
" "," ","1987M02",0,0
" "," ","1987M03",5,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,0
" "," ","1987M08",0,1
" "," ","1987M09",4,0
" "," ","1987M10",2,0
" "," ","1987M11",0,0
" "," ","1987M12",1,1
" "," ","1988M01",1,4
" "," ","1988M02",0,3
" "," ","1988M03",0,0
" "," ","1988M04",0,5
" "," ","1988M05",7,0
" "," ","1988M06",0,2
" "," ","1988M07",0,0
" "," ","1988M08",0,0
" "," ","1988M09",0,0
" "," ","1988M10",0,0
" "," ","1988M11",3,0
" "," ","1988M12",1,0
" "," ","1989M01",0,1
" "," ","1989M02",0,0
" "," ","1989M03",2,0
" "," ","1989M04",3,3
" "," ","1989M05",0,0
" ","Marshall Islands","1984M01",0,0
" "," ","1984M02",0,0
" "," ","1984M03",0,0
" "," ","1984M04",0,0
" "," ","1984M05",0,0
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",0,0
" "," ","1984M11",0,0
" "," ","1984M12",0,0
" "," ","1985M01",0,0
" "," ","1985M02",0,0
" "," ","1985M03",0,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,0
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,0
" "," ","1985M10",0,0
" "," ","1985M11",0,0
" "," ","1985M12",0,0
" "," ","1986M01",0,0
" "," ","1986M02",0,0
" "," ","1986M03",0,0
" "," ","1986M04",0,0
" "," ","1986M05",0,0
" "," ","1986M06",0,0
" "," ","1986M07",0,0
" "," ","1986M08",0,0
" "," ","1986M09",0,0
" "," ","1986M10",0,0
" "," ","1986M11",0,0
" "," ","1986M12",0,0
" "," ","1987M01",0,0
" "," ","1987M02",0,0
" "," ","1987M03",0,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,0
" "," ","1987M08",0,0
" "," ","1987M09",0,0
" "," ","1987M10",0,2
" "," ","1987M11",0,0
" "," ","1987M12",0,0
" "," ","1988M01",0,0
" "," ","1988M02",0,0
" "," ","1988M03",0,0
" "," ","1988M04",0,0
" "," ","1988M05",0,0
" "," ","1988M06",2,0
" "," ","1988M07",1,0
" "," ","1988M08",0,0
" "," ","1988M09",0,1
" "," ","1988M10",0,3
" "," ","1988M11",0,0
" "," ","1988M12",0,0
" "," ","1989M01",1,0
" "," ","1989M02",1,0
" "," ","1989M03",0,5
" "," ","1989M04",1,0
" "," ","1989M05",0,0
" ","Northern Mariana Islands","1984M01",0,0
" "," ","1984M02",0,0
" "," ","1984M03",0,0
" "," ","1984M04",0,0
" "," ","1984M05",0,0
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,0
" "," ","1984M10",0,0
" "," ","1984M11",0,0
" "," ","1984M12",0,0
" "," ","1985M01",0,0
" "," ","1985M02",0,0
" "," ","1985M03",0,0
" "," ","1985M04",0,0
" "," ","1985M05",0,0
" "," ","1985M06",0,0
" "," ","1985M07",0,0
" "," ","1985M08",0,0
" "," ","1985M09",0,0
" "," ","1985M10",0,0
" "," ","1985M11",0,0
" "," ","1985M12",0,0
" "," ","1986M01",0,0
" "," ","1986M02",0,0
" "," ","1986M03",0,0
" "," ","1986M04",0,0
" "," ","1986M05",0,0
" "," ","1986M06",0,0
" "," ","1986M07",0,0
" "," ","1986M08",0,0
" "," ","1986M09",0,0
" "," ","1986M10",0,0
" "," ","1986M11",0,0
" "," ","1986M12",0,0
" "," ","1987M01",0,0
" "," ","1987M02",0,0
" "," ","1987M03",0,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",0,0
" "," ","1987M07",0,0
" "," ","1987M08",0,0
" "," ","1987M09",0,0
" "," ","1987M10",0,0
" "," ","1987M11",0,0
" "," ","1987M12",0,0
" "," ","1988M01",0,0
" "," ","1988M02",0,0
" "," ","1988M03",0,0
" "," ","1988M04",0,0
" "," ","1988M05",0,0
" "," ","1988M06",0,0
" "," ","1988M07",2,0
" "," ","1988M08",0,0
" "," ","1988M09",0,0
" "," ","1988M10",0,0
" "," ","1988M11",0,0
" "," ","1988M12",0,0
" "," ","1989M01",0,0
" "," ","1989M02",0,0
" "," ","1989M03",0,0
" "," ","1989M04",0,0
" "," ","1989M05",0,2
" ","New Caledonia","1984M01",0,0
" "," ","1984M02",0,2
" "," ","1984M03",0,0
" "," ","1984M04",5,0
" "," ","1984M05",0,1
" "," ","1984M06",0,0
" "," ","1984M07",0,0
" "," ","1984M08",0,0
" "," ","1984M09",0,1
" "," ","1984M10",1,2
" "," ","1984M11",2,1
" "," ","1984M12",0,5
" "," ","1985M01",5,2
" "," ","1985M02",1,0
" "," ","1985M03",0,2
" "," ","1985M04",1,0
" "," ","1985M05",1,0
" "," ","1985M06",1,0
" "," ","1985M07",0,0
" "," ","1985M08",1,5
" "," ","1985M09",3,0
" "," ","1985M10",0,1
" "," ","1985M11",0,0
" "," ","1985M12",4,0
" "," ","1986M01",1,1
" "," ","1986M02",3,1
" "," ","1986M03",1,0
" "," ","1986M04",4,0
" "," ","1986M05",1,3
" "," ","1986M06",1,0
" "," ","1986M07",1,5
" "," ","1986M08",0,7
" "," ","1986M09",0,2
" "," ","1986M10",1,0
" "," ","1986M11",1,0
" "," ","1986M12",0,0
" "," ","1987M01",1,1
" "," ","1987M02",1,0
" "," ","1987M03",1,0
" "," ","1987M04",0,0
" "," ","1987M05",0,0
" "," ","1987M06",1,2
" "," ","1987M07",1,0
" "," ","1987M08",0,6
" "," ","1987M09",2,0
" "," ","1987M10",2,1
" "," ","1987M11",0,0
" "," ","1987M12",3,0
" "," ","1988M01",0,0
" "," ","1988M02",1,1
" "," ","1988M03",0,0
" "," ","1988M04",2,0
" "," ","1988M05",2,2
" "," ","1988M06",0,0
" "," ","1988M07",1,0
" "," ","1988M08",0,0
" "," ","1988M09",1,5
" "," ","1988M10",0,2
" "," ","1988M11",0,0
" "," ","1988M12",1,0
" "," ","1989M01",0,2
" "," ","1989M02",1,1
" "," ","1989M03",0,0
" "," ","1989M04",0,0
" "," ","1989M05",0,2
" ","Norfolk Island","1984M01",4,2
" "," ","1984M02",11,8
" "," ","1984M03",2,6
" "," ","1984M04",1,5
" "," ","1984M05",0,3
" "," ","1984M06",1,3
" "," ","1984M07",6,12
" "," ","1984M08",9,6
" "," ","1984M09",2,8
" "," ","1984M10",2,10
" "," ","1984M11",7,12
" "," ","1984M12",5,9
" "," ","1985M01",1,6
" "," ","1985M02",2,16
" "," ","1985M03",0,29
" "," ","1985M04",1,9
" "," ","1985M05",3,11
" "," ","1985M06",3,28
" "," ","1985M07",4,17
" "," ","1985M08",0,8
" "," ","1985M09",4,17
" "," ","1985M10",7,12
" "," ","1985M11",9,13
" "," ","1985M12",1,20
" "," ","1986M01",3,21
" "," ","1986M02",4,18
" "," ","1986M03",7,20
" "," ","1986M04",3,9
" "," ","1986M05",1,19
" "," ","1986M06",0,27
" "," ","1986M07",5,19
" "," ","1986M08",4,13
" "," ","1986M09",4,14
" "," ","1986M10",8,9
" "," ","1986M11",5,10
" "," ","1986M12",1,14
" "," ","1987M01",5,18
" "," ","1987M02",1,9
" "," ","1987M03",15,12
" "," ","1987M04",7,8
" "," ","1987M05",10,6
" "," ","1987M06",5,3
" "," ","1987M07",3,15
" "," ","1987M08",9,4
" "," ","1987M09",4,2
" "," ","1987M10",3,1
" "," ","1987M11",15,11
" "," ","1987M12",4,5
" "," ","1988M01",6,9
" "," ","1988M02",4,7
" "," ","1988M03",9,7
" "," ","1988M04",5,1
" "," ","1988M05",5,5
" "," ","1988M06",5,6
" "," ","1988M07",3,5
" "," ","1988M08",4,8
" "," ","1988M09",5,10
" "," ","1988M10",4,3
" "," ","1988M11",3,8
" "," ","1988M12",4,9
" "," ","1989M01",2,12
" "," ","1989M02",2,12
" "," ","1989M03",3,6
" "," ","1989M04",2,13
" "," ","1989M05",2,10
