"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
"New Zealand Citizen","OCEANIA","2005M09",672,2091
" "," ","2005M10",705,2365
" "," ","2005M11",673,2101
" "," ","2005M12",1430,2771
" "," ","2006M01",1015,4008
" "," ","2006M02",958,2958
" "," ","2006M03",784,2603
" "," ","2006M04",741,2570
" "," ","2006M05",680,2488
" "," ","2006M06",592,2277
" "," ","2006M07",713,2376
" "," ","2006M08",658,2192
" "," ","2006M09",736,2240
" "," ","2006M10",687,2359
" "," ","2006M11",786,2016
" "," ","2006M12",1349,2882
" "," ","2007M01",970,4622
" "," ","2007M02",992,3532
" "," ","2007M03",767,3581
" "," ","2007M04",639,3173
" "," ","2007M05",724,3023
" "," ","2007M06",690,2932
" "," ","2007M07",666,2892
" "," ","2007M08",716,2709
" "," ","2007M09",765,2601
" "," ","2007M10",691,2704
" "," ","2007M11",747,2633
" "," ","2007M12",1404,3698
" "," ","2008M01",922,5161
" "," ","2008M02",963,4437
" "," ","2008M03",765,3826
" "," ","2008M04",700,3886
" "," ","2008M05",769,3591
" "," ","2008M06",613,3487
" "," ","2008M07",643,3254
" "," ","2008M08",697,3492
" "," ","2008M09",635,3142
" "," ","2008M10",734,3343
" "," ","2008M11",712,3175
" "," ","2008M12",1281,3635
" "," ","2009M01",1033,5223
" "," ","2009M02",961,3439
" "," ","2009M03",869,3047
" "," ","2009M04",868,2565
" "," ","2009M05",903,2185
" "," ","2009M06",769,1936
" "," ","2009M07",899,1876
" "," ","2009M08",920,1773
" "," ","2009M09",817,1612
" "," ","2009M10",842,1623
" "," ","2009M11",882,1794
" "," ","2009M12",1561,2358
" "," ","2010M01",1238,3623
" "," ","2010M02",1126,3016
" "," ","2010M03",1016,2903
" "," ","2010M04",944,2508
" "," ","2010M05",853,2594
" "," ","2010M06",803,2622
" "," ","2010M07",904,2371
" "," ","2010M08",756,2450
" "," ","2010M09",766,2375
" "," ","2010M10",797,2745
" "," ","2010M11",782,2570
" "," ","2010M12",1531,3292
" "," ","2011M01",1226,5050
" ","Antarctica","2005M09",0,0
" "," ","2005M10",0,0
" "," ","2005M11",0,0
" "," ","2005M12",0,0
" "," ","2006M01",0,0
" "," ","2006M02",0,0
" "," ","2006M03",0,0
" "," ","2006M04",0,0
" "," ","2006M05",0,0
" "," ","2006M06",0,0
" "," ","2006M07",0,0
" "," ","2006M08",0,0
" "," ","2006M09",0,0
" "," ","2006M10",0,0
" "," ","2006M11",0,0
" "," ","2006M12",0,0
" "," ","2007M01",0,0
" "," ","2007M02",0,0
" "," ","2007M03",0,0
" "," ","2007M04",0,0
" "," ","2007M05",0,0
" "," ","2007M06",0,0
" "," ","2007M07",0,0
" "," ","2007M08",0,0
" "," ","2007M09",0,0
" "," ","2007M10",0,0
" "," ","2007M11",0,0
" "," ","2007M12",0,0
" "," ","2008M01",0,0
" "," ","2008M02",0,0
" "," ","2008M03",0,0
" "," ","2008M04",0,0
" "," ","2008M05",0,0
" "," ","2008M06",0,0
" "," ","2008M07",0,0
" "," ","2008M08",0,0
" "," ","2008M09",0,0
" "," ","2008M10",0,0
" "," ","2008M11",0,0
" "," ","2008M12",0,0
" "," ","2009M01",0,0
" "," ","2009M02",0,0
" "," ","2009M03",0,0
" "," ","2009M04",0,0
" "," ","2009M05",0,0
" "," ","2009M06",0,0
" "," ","2009M07",0,0
" "," ","2009M08",0,0
" "," ","2009M09",0,0
" "," ","2009M10",0,0
" "," ","2009M11",0,0
" "," ","2009M12",0,0
" "," ","2010M01",0,0
" "," ","2010M02",0,0
" "," ","2010M03",0,0
" "," ","2010M04",0,0
" "," ","2010M05",0,0
" "," ","2010M06",0,0
" "," ","2010M07",0,0
" "," ","2010M08",0,0
" "," ","2010M09",0,0
" "," ","2010M10",0,0
" "," ","2010M11",0,0
" "," ","2010M12",0,0
" "," ","2011M01",0,0
" ","Samoa, American","2005M09",1,0
" "," ","2005M10",0,3
" "," ","2005M11",0,0
" "," ","2005M12",1,3
" "," ","2006M01",2,2
" "," ","2006M02",1,0
" "," ","2006M03",2,0
" "," ","2006M04",3,0
" "," ","2006M05",1,4
" "," ","2006M06",0,1
" "," ","2006M07",5,0
" "," ","2006M08",0,5
" "," ","2006M09",0,4
" "," ","2006M10",0,0
" "," ","2006M11",1,1
" "," ","2006M12",3,0
" "," ","2007M01",1,0
" "," ","2007M02",5,0
" "," ","2007M03",1,0
" "," ","2007M04",0,0
" "," ","2007M05",2,0
" "," ","2007M06",4,4
" "," ","2007M07",2,0
" "," ","2007M08",0,1
" "," ","2007M09",0,0
" "," ","2007M10",1,0
" "," ","2007M11",1,0
" "," ","2007M12",10,0
" "," ","2008M01",1,1
" "," ","2008M02",1,3
" "," ","2008M03",1,1
" "," ","2008M04",1,0
" "," ","2008M05",0,0
" "," ","2008M06",0,1
" "," ","2008M07",0,0
" "," ","2008M08",1,1
" "," ","2008M09",1,0
" "," ","2008M10",0,0
" "," ","2008M11",1,0
" "," ","2008M12",3,0
" "," ","2009M01",4,1
" "," ","2009M02",1,3
" "," ","2009M03",1,0
" "," ","2009M04",0,0
" "," ","2009M05",0,0
" "," ","2009M06",4,0
" "," ","2009M07",2,0
" "," ","2009M08",1,5
" "," ","2009M09",0,0
" "," ","2009M10",0,0
" "," ","2009M11",0,0
" "," ","2009M12",1,1
" "," ","2010M01",0,1
" "," ","2010M02",1,1
" "," ","2010M03",1,0
" "," ","2010M04",2,1
" "," ","2010M05",1,0
" "," ","2010M06",2,0
" "," ","2010M07",0,0
" "," ","2010M08",1,1
" "," ","2010M09",2,0
" "," ","2010M10",1,0
" "," ","2010M11",0,3
" "," ","2010M12",5,0
" "," ","2011M01",1,0
" ","Australia","2005M09",578,2025
" "," ","2005M10",609,2295
" "," ","2005M11",580,1997
" "," ","2005M12",1186,2635
" "," ","2006M01",871,3819
" "," ","2006M02",746,2857
" "," ","2006M03",688,2509
" "," ","2006M04",655,2483
" "," ","2006M05",586,2409
" "," ","2006M06",522,2219
" "," ","2006M07",606,2312
" "," ","2006M08",609,2131
" "," ","2006M09",649,2178
" "," ","2006M10",608,2308
" "," ","2006M11",692,1956
" "," ","2006M12",1120,2759
" "," ","2007M01",807,4469
" "," ","2007M02",795,3442
" "," ","2007M03",669,3497
" "," ","2007M04",566,3095
" "," ","2007M05",643,2949
" "," ","2007M06",614,2857
" "," ","2007M07",593,2813
" "," ","2007M08",625,2613
" "," ","2007M09",679,2552
" "," ","2007M10",643,2630
" "," ","2007M11",653,2567
" "," ","2007M12",1194,3554
" "," ","2008M01",795,5017
" "," ","2008M02",742,4338
" "," ","2008M03",672,3753
" "," ","2008M04",606,3816
" "," ","2008M05",688,3521
" "," ","2008M06",540,3422
" "," ","2008M07",580,3188
" "," ","2008M08",617,3428
" "," ","2008M09",577,3082
" "," ","2008M10",654,3279
" "," ","2008M11",629,3117
" "," ","2008M12",1114,3557
" "," ","2009M01",856,5070
" "," ","2009M02",782,3334
" "," ","2009M03",748,2973
" "," ","2009M04",784,2507
" "," ","2009M05",811,2113
" "," ","2009M06",699,1889
" "," ","2009M07",844,1801
" "," ","2009M08",864,1700
" "," ","2009M09",749,1567
" "," ","2009M10",757,1573
" "," ","2009M11",818,1744
" "," ","2009M12",1332,2285
" "," ","2010M01",1078,3470
" "," ","2010M02",971,2941
" "," ","2010M03",935,2815
" "," ","2010M04",857,2450
" "," ","2010M05",792,2536
" "," ","2010M06",713,2568
" "," ","2010M07",822,2291
" "," ","2010M08",670,2385
" "," ","2010M09",711,2334
" "," ","2010M10",731,2681
" "," ","2010M11",729,2496
" "," ","2010M12",1313,3211
" "," ","2011M01",1074,4875
" ","Cocos (Keeling) Islands","2005M09",0,0
" "," ","2005M10",0,0
" "," ","2005M11",0,0
" "," ","2005M12",0,0
" "," ","2006M01",0,0
" "," ","2006M02",0,0
" "," ","2006M03",0,0
" "," ","2006M04",0,0
" "," ","2006M05",0,0
" "," ","2006M06",0,0
" "," ","2006M07",0,0
" "," ","2006M08",0,0
" "," ","2006M09",0,0
" "," ","2006M10",0,0
" "," ","2006M11",0,0
" "," ","2006M12",0,0
" "," ","2007M01",0,0
" "," ","2007M02",0,0
" "," ","2007M03",0,0
" "," ","2007M04",0,0
" "," ","2007M05",0,0
" "," ","2007M06",0,0
" "," ","2007M07",0,0
" "," ","2007M08",0,0
" "," ","2007M09",0,0
" "," ","2007M10",0,0
" "," ","2007M11",0,0
" "," ","2007M12",0,0
" "," ","2008M01",0,0
" "," ","2008M02",0,0
" "," ","2008M03",0,0
" "," ","2008M04",0,0
" "," ","2008M05",0,0
" "," ","2008M06",0,0
" "," ","2008M07",0,0
" "," ","2008M08",0,0
" "," ","2008M09",0,0
" "," ","2008M10",0,0
" "," ","2008M11",0,0
" "," ","2008M12",0,0
" "," ","2009M01",0,0
" "," ","2009M02",0,0
" "," ","2009M03",0,0
" "," ","2009M04",0,0
" "," ","2009M05",0,0
" "," ","2009M06",0,0
" "," ","2009M07",0,0
" "," ","2009M08",0,0
" "," ","2009M09",0,0
" "," ","2009M10",0,0
" "," ","2009M11",0,0
" "," ","2009M12",0,0
" "," ","2010M01",0,0
" "," ","2010M02",0,0
" "," ","2010M03",0,0
" "," ","2010M04",0,0
" "," ","2010M05",0,0
" "," ","2010M06",0,0
" "," ","2010M07",0,0
" "," ","2010M08",0,0
" "," ","2010M09",0,0
" "," ","2010M10",0,0
" "," ","2010M11",0,0
" "," ","2010M12",0,0
" "," ","2011M01",0,0
" ","Cook Islands","2005M09",41,22
" "," ","2005M10",31,32
" "," ","2005M11",17,54
" "," ","2005M12",57,50
" "," ","2006M01",51,59
" "," ","2006M02",60,28
" "," ","2006M03",43,31
" "," ","2006M04",12,24
" "," ","2006M05",36,23
" "," ","2006M06",21,18
" "," ","2006M07",19,24
" "," ","2006M08",8,28
" "," ","2006M09",26,17
" "," ","2006M10",12,13
" "," ","2006M11",20,25
" "," ","2006M12",49,42
" "," ","2007M01",51,49
" "," ","2007M02",57,20
" "," ","2007M03",23,25
" "," ","2007M04",22,27
" "," ","2007M05",29,21
" "," ","2007M06",16,21
" "," ","2007M07",18,27
" "," ","2007M08",27,51
" "," ","2007M09",33,17
" "," ","2007M10",14,27
" "," ","2007M11",29,31
