"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
"New Zealand Citizen","OCEANIA","1978M08",812,2936
" "," ","1978M09",848,2628
" "," ","1978M10",1060,2612
" "," ","1978M11",1056,2232
" "," ","1978M12",2596,2784
" "," ","1979M01",1308,6280
" "," ","1979M02",948,4088
" "," ","1979M03",884,4144
" "," ","1979M04",768,4164
" "," ","1979M05",820,3916
" "," ","1979M06",816,3780
" "," ","1979M07",617,3400
" "," ","1979M08",808,3527
" "," ","1979M09",810,3335
" "," ","1979M10",812,2738
" "," ","1979M11",1006,2305
" "," ","1979M12",2220,2856
" "," ","1980M01",1278,4285
" "," ","1980M02",1011,3320
" "," ","1980M03",962,3339
" "," ","1980M04",937,2962
" "," ","1980M05",1040,3136
" "," ","1980M06",908,2979
" "," ","1980M07",825,2709
" "," ","1980M08",984,2924
" "," ","1980M09",833,2985
" "," ","1980M10",1043,2902
" "," ","1980M11",1127,3027
" "," ","1980M12",2323,3286
" "," ","1981M01",1306,5104
" "," ","1981M02",765,2783
" "," ","1981M03",1095,4732
" "," ","1981M04",910,3428
" "," ","1981M05",1092,3704
" "," ","1981M06",769,3755
" "," ","1981M07",834,2035
" "," ","1981M08",969,2527
" "," ","1981M09",923,2163
" "," ","1981M10",1101,2266
" "," ","1981M11",1226,2033
" "," ","1981M12",2466,2634
" "," ","1982M01",1380,3579
" "," ","1982M02",1171,2915
" "," ","1982M03",933,2785
" "," ","1982M04",1005,2546
" "," ","1982M05",1078,2528
" "," ","1982M06",840,2137
" "," ","1982M07",852,2219
" "," ","1982M08",988,2022
" "," ","1982M09",962,1833
" "," ","1982M10",1205,1705
" "," ","1982M11",1331,1250
" "," ","1982M12",2483,1489
" "," ","1983M01",1602,2279
" "," ","1983M02",1302,1488
" "," ","1983M03",1258,1398
" "," ","1983M04",1087,1185
" "," ","1983M05",1135,1123
" "," ","1983M06",935,984
" "," ","1983M07",1089,950
" "," ","1983M08",1038,913
" "," ","1983M09",998,1011
" "," ","1983M10",1173,901
" "," ","1983M11",1309,904
" "," ","1983M12",2246,1353
" ","Antarctica","1978M08",0,0
" "," ","1978M09",0,0
" "," ","1978M10",8,0
" "," ","1978M11",4,4
" "," ","1978M12",4,0
