"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","1979M01",0,4
" "," ","1979M02",4,0
" "," ","1979M03",0,0
" "," ","1979M04",0,0
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,0
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",5,7
" "," ","1979M11",1,0
" "," ","1979M12",0,0
" "," ","1980M01",0,0
" "," ","1980M02",0,0
" "," ","1980M03",0,0
" "," ","1980M04",0,0
" "," ","1980M05",0,0
" "," ","1980M06",0,0
" "," ","1980M07",0,0
" "," ","1980M08",0,0
" "," ","1980M09",0,0
" "," ","1980M10",7,6
" "," ","1980M11",1,0
" "," ","1980M12",0,0
" "," ","1981M01",0,0
" "," ","1981M02",0,0
" "," ","1981M03",0,0
" "," ","1981M04",0,1
" "," ","1981M05",0,0
" "," ","1981M06",0,0
" "," ","1981M07",0,0
" "," ","1981M08",0,0
" "," ","1981M09",0,0
" "," ","1981M10",8,8
" "," ","1981M11",0,0
" "," ","1981M12",0,0
" "," ","1982M01",0,0
" "," ","1982M02",0,0
" "," ","1982M03",0,0
" "," ","1982M04",0,0
" "," ","1982M05",0,0
" "," ","1982M06",0,0
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",0,1
" "," ","1982M10",8,10
" "," ","1982M11",2,0
" "," ","1982M12",0,1
" "," ","1983M01",0,0
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,0
" "," ","1983M06",0,0
" "," ","1983M07",0,0
" "," ","1983M08",0,0
" "," ","1983M09",0,0
" "," ","1983M10",4,7
" "," ","1983M11",0,0
" "," ","1983M12",0,1
" ","Samoa, American","1978M08",0,8
" "," ","1978M09",4,0
" "," ","1978M10",0,4
" "," ","1978M11",0,4
" "," ","1978M12",0,4
" "," ","1979M01",8,0
" "," ","1979M02",0,0
" "," ","1979M03",4,4
" "," ","1979M04",0,0
" "," ","1979M05",0,12
" "," ","1979M06",0,0
" "," ","1979M07",1,0
" "," ","1979M08",3,4
" "," ","1979M09",0,8
" "," ","1979M10",0,0
" "," ","1979M11",0,1
" "," ","1979M12",1,1
" "," ","1980M01",0,8
" "," ","1980M02",2,5
" "," ","1980M03",2,8
" "," ","1980M04",4,6
" "," ","1980M05",0,5
" "," ","1980M06",4,2
" "," ","1980M07",1,0
" "," ","1980M08",5,3
" "," ","1980M09",3,2
" "," ","1980M10",0,1
" "," ","1980M11",0,6
" "," ","1980M12",1,2
" "," ","1981M01",1,6
" "," ","1981M02",1,11
" "," ","1981M03",3,0
" "," ","1981M04",6,5
" "," ","1981M05",5,1
" "," ","1981M06",0,0
" "," ","1981M07",4,2
" "," ","1981M08",8,0
" "," ","1981M09",2,3
" "," ","1981M10",1,0
" "," ","1981M11",0,0
" "," ","1981M12",7,1
" "," ","1982M01",2,0
" "," ","1982M02",2,0
" "," ","1982M03",0,1
" "," ","1982M04",4,0
" "," ","1982M05",0,0
" "," ","1982M06",1,0
" "," ","1982M07",3,0
" "," ","1982M08",2,3
" "," ","1982M09",0,1
" "," ","1982M10",0,1
" "," ","1982M11",0,1
" "," ","1982M12",2,2
" "," ","1983M01",1,1
" "," ","1983M02",0,0
" "," ","1983M03",0,2
" "," ","1983M04",0,1
" "," ","1983M05",1,0
" "," ","1983M06",0,0
" "," ","1983M07",0,0
" "," ","1983M08",4,1
" "," ","1983M09",0,0
" "," ","1983M10",1,0
" "," ","1983M11",0,0
" "," ","1983M12",2,1
" ","Australia","1978M08",576,2608
" "," ","1978M09",556,2372
" "," ","1978M10",688,2340
" "," ","1978M11",764,1904
" "," ","1978M12",1908,2460
" "," ","1979M01",872,5364
" "," ","1979M02",704,3544
" "," ","1979M03",636,3708
" "," ","1979M04",540,3664
" "," ","1979M05",580,3456
" "," ","1979M06",592,3436
" "," ","1979M07",443,3118
" "," ","1979M08",555,3245
" "," ","1979M09",559,3054
" "," ","1979M10",527,2477
" "," ","1979M11",717,2051
" "," ","1979M12",1499,2496
" "," ","1980M01",824,3493
" "," ","1980M02",748,2929
" "," ","1980M03",758,3041
" "," ","1980M04",687,2666
" "," ","1980M05",789,2612
" "," ","1980M06",671,2643
" "," ","1980M07",610,2403
" "," ","1980M08",724,2660
" "," ","1980M09",578,2719
" "," ","1980M10",731,2695
" "," ","1980M11",785,2786
" "," ","1980M12",1597,2909
" "," ","1981M01",848,4545
" "," ","1981M02",556,2506
" "," ","1981M03",846,4283
" "," ","1981M04",689,3075
" "," ","1981M05",847,3350
" "," ","1981M06",583,3447
" "," ","1981M07",617,1784
" "," ","1981M08",664,2344
" "," ","1981M09",673,1961
" "," ","1981M10",826,2060
" "," ","1981M11",880,1749
" "," ","1981M12",1814,2371
" "," ","1982M01",853,3115
" "," ","1982M02",873,2559
" "," ","1982M03",803,2481
" "," ","1982M04",808,2271
" "," ","1982M05",797,2249
" "," ","1982M06",647,1864
" "," ","1982M07",672,1980
" "," ","1982M08",739,1810
" "," ","1982M09",834,1695
" "," ","1982M10",941,1524
" "," ","1982M11",1073,1095
" "," ","1982M12",1942,1299
" "," ","1983M01",1171,1911
" "," ","1983M02",1042,1287
" "," ","1983M03",1042,1139
" "," ","1983M04",914,959
" "," ","1983M05",912,915
" "," ","1983M06",765,801
" "," ","1983M07",858,810
" "," ","1983M08",814,755
" "," ","1983M09",796,861
" "," ","1983M10",893,790
" "," ","1983M11",1002,753
" "," ","1983M12",1654,1115
" ","Cocos (Keeling) Islands","1978M08",0,0
" "," ","1978M09",0,0
" "," ","1978M10",0,0
" "," ","1978M11",0,0
" "," ","1978M12",0,0
" "," ","1979M01",0,0
" "," ","1979M02",0,0
" "," ","1979M03",0,0
" "," ","1979M04",0,0
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,0
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",0,0
" "," ","1979M11",0,0
" "," ","1979M12",0,0
" "," ","1980M01",0,0
" "," ","1980M02",0,0
" "," ","1980M03",0,0
" "," ","1980M04",0,0
" "," ","1980M05",0,0
" "," ","1980M06",0,0
" "," ","1980M07",0,0
" "," ","1980M08",0,0
" "," ","1980M09",0,0
" "," ","1980M10",0,0
" "," ","1980M11",0,0
" "," ","1980M12",0,0
" "," ","1981M01",0,0
" "," ","1981M02",0,0
" "," ","1981M03",0,0
" "," ","1981M04",0,0
" "," ","1981M05",0,0
" "," ","1981M06",0,0
" "," ","1981M07",0,0
" "," ","1981M08",0,0
" "," ","1981M09",0,0
" "," ","1981M10",0,0
" "," ","1981M11",0,0
" "," ","1981M12",0,0
" "," ","1982M01",0,0
" "," ","1982M02",0,0
" "," ","1982M03",0,0
" "," ","1982M04",0,0
" "," ","1982M05",0,0
" "," ","1982M06",0,0
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",0,0
" "," ","1982M10",0,0
" "," ","1982M11",0,0
" "," ","1982M12",0,0
" "," ","1983M01",0,0
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,0
" "," ","1983M06",0,0
" "," ","1983M07",0,0
" "," ","1983M08",0,0
" "," ","1983M09",0,0
" "," ","1983M10",0,0
" "," ","1983M11",0,0
" "," ","1983M12",0,0
" ","Cook Islands","1978M08",28,16
" "," ","1978M09",16,24
" "," ","1978M10",12,16
" "," ","1978M11",36,44
" "," ","1978M12",64,40
" "," ","1979M01",36,128
" "," ","1979M02",8,48
" "," ","1979M03",24,24
" "," ","1979M04",36,36
" "," ","1979M05",20,24
" "," ","1979M06",28,20
" "," ","1979M07",16,19
" "," ","1979M08",15,19
" "," ","1979M09",19,21
" "," ","1979M10",19,23
" "," ","1979M11",13,32
" "," ","1979M12",83,41
" "," ","1980M01",49,76
" "," ","1980M02",37,30
" "," ","1980M03",29,34
" "," ","1980M04",32,11
" "," ","1980M05",9,47
" "," ","1980M06",13,43
" "," ","1980M07",13,13
" "," ","1980M08",40,23
" "," ","1980M09",37,25
" "," ","1980M10",26,24
" "," ","1980M11",30,21
" "," ","1980M12",74,64
" "," ","1981M01",42,66
" "," ","1981M02",38,17
" "," ","1981M03",33,35
" "," ","1981M04",18,24
" "," ","1981M05",22,27
" "," ","1981M06",9,19
" "," ","1981M07",10,8
" "," ","1981M08",20,1
" "," ","1981M09",16,15
" "," ","1981M10",29,20
" "," ","1981M11",21,23
" "," ","1981M12",72,38
" "," ","1982M01",47,44
" "," ","1982M02",41,11
" "," ","1982M03",30,16
" "," ","1982M04",22,18
" "," ","1982M05",36,27
" "," ","1982M06",10,23
" "," ","1982M07",8,26
" "," ","1982M08",24,18
" "," ","1982M09",3,23
" "," ","1982M10",45,17
" "," ","1982M11",14,25
" "," ","1982M12",50,14
" "," ","1983M01",44,70
" "," ","1983M02",40,14
" "," ","1983M03",33,27
" "," ","1983M04",16,20
" "," ","1983M05",7,10
" "," ","1983M06",3,7
" "," ","1983M07",11,18
" "," ","1983M08",7,26
" "," ","1983M09",15,7
" "," ","1983M10",9,7
" "," ","1983M11",5,10
" "," ","1983M12",71,37
" ","Christmas Island","1978M08",0,0
" "," ","1978M09",0,0
" "," ","1978M10",0,0
" "," ","1978M11",0,0
" "," ","1978M12",0,0
" "," ","1979M01",0,0
" "," ","1979M02",0,0
" "," ","1979M03",0,0
" "," ","1979M04",0,0
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,0
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",0,0
" "," ","1979M11",0,0
" "," ","1979M12",0,0
" "," ","1980M01",0,0
" "," ","1980M02",0,0
" "," ","1980M03",0,0
" "," ","1980M04",0,0
" "," ","1980M05",0,0
" "," ","1980M06",0,0
" "," ","1980M07",0,0
" "," ","1980M08",0,0
" "," ","1980M09",0,0
" "," ","1980M10",0,0
" "," ","1980M11",0,0
" "," ","1980M12",0,0
" "," ","1981M01",0,0
" "," ","1981M02",0,0
" "," ","1981M03",0,0
" "," ","1981M04",0,0
" "," ","1981M05",0,0
" "," ","1981M06",0,0
" "," ","1981M07",0,0
" "," ","1981M08",1,0
" "," ","1981M09",0,0
" "," ","1981M10",0,0
" "," ","1981M11",0,0
" "," ","1981M12",0,0
" "," ","1982M01",0,0
" "," ","1982M02",0,0
" "," ","1982M03",0,0
" "," ","1982M04",0,0
" "," ","1982M05",0,0
" "," ","1982M06",0,0
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",0,0
" "," ","1982M10",0,0
" "," ","1982M11",0,0
" "," ","1982M12",0,0
" "," ","1983M01",0,0
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,0
" "," ","1983M06",0,0
" "," ","1983M07",0,0
" "," ","1983M08",0,0
" "," ","1983M09",0,0
" "," ","1983M10",0,0
" "," ","1983M11",0,0
" "," ","1983M12",0,0
" ","Fiji","1978M08",8,16
" "," ","1978M09",16,16
" "," ","1978M10",24,24
" "," ","1978M11",24,32
" "," ","1978M12",124,32
" "," ","1979M01",48,108
" "," ","1979M02",20,36
" "," ","1979M03",32,52
" "," ","1979M04",36,32
" "," ","1979M05",12,48
" "," ","1979M06",12,20
" "," ","1979M07",15,25
" "," ","1979M08",17,36
" "," ","1979M09",20,36
" "," ","1979M10",8,32
" "," ","1979M11",42,34
" "," ","1979M12",96,55
" "," ","1980M01",51,80
" "," ","1980M02",25,39
" "," ","1980M03",14,35
" "," ","1980M04",14,37
" "," ","1980M05",15,42
" "," ","1980M06",8,41
" "," ","1980M07",28,31
" "," ","1980M08",32,33
" "," ","1980M09",16,29
" "," ","1980M10",19,14
" "," ","1980M11",21,25
" "," ","1980M12",54,30
" "," ","1981M01",65,71
" "," ","1981M02",19,21
" "," ","1981M03",19,27
" "," ","1981M04",19,22
" "," ","1981M05",14,27
" "," ","1981M06",13,13
" "," ","1981M07",19,15
" "," ","1981M08",21,6
" "," ","1981M09",14,17
" "," ","1981M10",22,15
" "," ","1981M11",24,28
" "," ","1981M12",53,26
" "," ","1982M01",76,59
" "," ","1982M02",28,12
" "," ","1982M03",16,30
" "," ","1982M04",11,21
" "," ","1982M05",25,22
" "," ","1982M06",13,19
" "," ","1982M07",16,12
" "," ","1982M08",35,25
" "," ","1982M09",24,13
" "," ","1982M10",15,23
" "," ","1982M11",18,10
" "," ","1982M12",36,25
" "," ","1983M01",52,16
" "," ","1983M02",19,26
" "," ","1983M03",21,19
" "," ","1983M04",9,9
" "," ","1983M05",16,20
" "," ","1983M06",17,25
" "," ","1983M07",10,13
" "," ","1983M08",10,18
" "," ","1983M09",9,8
" "," ","1983M10",24,4
" "," ","1983M11",34,13
" "," ","1983M12",56,28
" ","Micronesia, Federated States of","1978M08",0,0
" "," ","1978M09",0,0
" "," ","1978M10",0,0
" "," ","1978M11",0,0
" "," ","1978M12",0,0
" "," ","1979M01",0,0
" "," ","1979M02",0,0
" "," ","1979M03",0,0
" "," ","1979M04",0,0
" "," ","1979M05",0,4
" "," ","1979M06",0,0
" "," ","1979M07",0,0
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",0,0
" "," ","1979M11",2,0
" "," ","1979M12",0,0
" "," ","1980M01",0,0
" "," ","1980M02",0,0
" "," ","1980M03",0,4
" "," ","1980M04",0,15
" "," ","1980M05",0,11
" "," ","1980M06",0,0
" "," ","1980M07",0,0
" "," ","1980M08",0,1
" "," ","1980M09",0,0
" "," ","1980M10",0,0
" "," ","1980M11",0,1
" "," ","1980M12",0,4
" "," ","1981M01",0,1
" "," ","1981M02",0,0
" "," ","1981M03",0,0
" "," ","1981M04",1,4
" "," ","1981M05",0,0
" "," ","1981M06",0,0
" "," ","1981M07",0,0
" "," ","1981M08",0,4
" "," ","1981M09",0,5
" "," ","1981M10",5,0
" "," ","1981M11",0,0
" "," ","1981M12",0,0
" "," ","1982M01",1,2
" "," ","1982M02",2,1
" "," ","1982M03",0,0
" "," ","1982M04",2,0
" "," ","1982M05",1,0
" "," ","1982M06",0,0
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",0,4
" "," ","1982M10",3,0
" "," ","1982M11",0,5
" "," ","1982M12",9,0
" "," ","1983M01",1,1
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,0
" "," ","1983M06",1,0
" "," ","1983M07",10,0
" "," ","1983M08",6,0
" "," ","1983M09",1,0
" "," ","1983M10",0,0
" "," ","1983M11",6,0
" "," ","1983M12",0,0
" ","Guam","1978M08",0,0
" "," ","1978M09",0,0
" "," ","1978M10",0,0
" "," ","1978M11",0,0
" "," ","1978M12",0,0
" "," ","1979M01",0,0
" "," ","1979M02",0,0
" "," ","1979M03",0,0
" "," ","1979M04",0,0
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,0
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",0,0
" "," ","1979M11",0,0
" "," ","1979M12",0,0
" "," ","1980M01",1,0
" "," ","1980M02",0,0
" "," ","1980M03",0,0
" "," ","1980M04",0,0
" "," ","1980M05",0,0
" "," ","1980M06",0,0
" "," ","1980M07",0,0
" "," ","1980M08",0,0
" "," ","1980M09",0,0
" "," ","1980M10",0,0
" "," ","1980M11",0,0
" "," ","1980M12",1,0
" "," ","1981M01",0,0
" "," ","1981M02",0,0
" "," ","1981M03",0,0
" "," ","1981M04",0,0
" "," ","1981M05",0,0
" "," ","1981M06",0,1
" "," ","1981M07",0,1
" "," ","1981M08",0,0
" "," ","1981M09",0,1
" "," ","1981M10",0,0
" "," ","1981M11",0,0
" "," ","1981M12",0,0
" "," ","1982M01",0,0
" "," ","1982M02",0,2
" "," ","1982M03",0,0
" "," ","1982M04",0,0
" "," ","1982M05",0,0
" "," ","1982M06",0,0
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",0,0
" "," ","1982M10",0,0
" "," ","1982M11",0,0
" "," ","1982M12",0,0
" "," ","1983M01",1,0
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,0
" "," ","1983M06",0,0
" "," ","1983M07",0,0
" "," ","1983M08",0,0
" "," ","1983M09",0,2
" "," ","1983M10",0,0
" "," ","1983M11",0,0
" "," ","1983M12",0,0
" ","Kiribati","1978M08",0,4
" "," ","1978M09",0,0
" "," ","1978M10",0,0
" "," ","1978M11",0,8
" "," ","1978M12",12,0
" "," ","1979M01",4,0
" "," ","1979M02",0,0
" "," ","1979M03",0,0
" "," ","1979M04",0,4
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,3
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",0,0
" "," ","1979M11",0,0
" "," ","1979M12",0,0
" "," ","1980M01",1,6
" "," ","1980M02",3,0
" "," ","1980M03",0,2
" "," ","1980M04",0,0
" "," ","1980M05",0,0
" "," ","1980M06",0,1
" "," ","1980M07",0,1
" "," ","1980M08",0,0
" "," ","1980M09",0,1
" "," ","1980M10",0,0
" "," ","1980M11",0,0
" "," ","1980M12",0,5
" "," ","1981M01",3,4
" "," ","1981M02",0,0
" "," ","1981M03",3,0
" "," ","1981M04",0,0
" "," ","1981M05",0,3
" "," ","1981M06",0,7
" "," ","1981M07",0,2
" "," ","1981M08",0,1
" "," ","1981M09",0,2
" "," ","1981M10",0,1
" "," ","1981M11",0,0
" "," ","1981M12",6,1
" "," ","1982M01",0,7
" "," ","1982M02",1,2
" "," ","1982M03",0,0
" "," ","1982M04",0,1
" "," ","1982M05",0,2
" "," ","1982M06",0,3
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",2,0
" "," ","1982M10",0,0
" "," ","1982M11",0,2
" "," ","1982M12",7,0
" "," ","1983M01",4,1
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,3
" "," ","1983M06",1,0
" "," ","1983M07",6,2
" "," ","1983M08",2,0
" "," ","1983M09",0,0
" "," ","1983M10",0,0
" "," ","1983M11",0,0
" "," ","1983M12",5,0
" ","Marshall Islands","1978M08",0,0
" "," ","1978M09",0,0
" "," ","1978M10",0,0
" "," ","1978M11",0,0
" "," ","1978M12",0,0
" "," ","1979M01",0,0
" "," ","1979M02",0,0
" "," ","1979M03",0,0
" "," ","1979M04",0,0
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,0
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",0,0
" "," ","1979M11",0,0
" "," ","1979M12",0,0
" "," ","1980M01",0,0
" "," ","1980M02",0,0
" "," ","1980M03",0,0
" "," ","1980M04",0,0
" "," ","1980M05",0,0
" "," ","1980M06",0,0
" "," ","1980M07",0,0
" "," ","1980M08",0,0
" "," ","1980M09",0,0
" "," ","1980M10",0,0
" "," ","1980M11",0,0
" "," ","1980M12",0,0
" "," ","1981M01",0,0
" "," ","1981M02",0,0
" "," ","1981M03",0,0
" "," ","1981M04",0,0
" "," ","1981M05",0,0
" "," ","1981M06",0,0
" "," ","1981M07",0,0
" "," ","1981M08",0,0
" "," ","1981M09",0,0
" "," ","1981M10",0,0
" "," ","1981M11",0,0
" "," ","1981M12",0,0
" "," ","1982M01",0,0
" "," ","1982M02",0,0
" "," ","1982M03",0,0
" "," ","1982M04",0,0
" "," ","1982M05",0,0
" "," ","1982M06",0,0
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",0,0
" "," ","1982M10",0,0
" "," ","1982M11",0,0
" "," ","1982M12",0,0
" "," ","1983M01",0,0
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,0
" "," ","1983M06",0,0
" "," ","1983M07",0,0
" "," ","1983M08",0,0
" "," ","1983M09",0,0
" "," ","1983M10",0,0
" "," ","1983M11",0,0
" "," ","1983M12",0,0
" ","Northern Mariana Islands","1978M08",0,0
" "," ","1978M09",0,0
" "," ","1978M10",0,0
" "," ","1978M11",0,0
" "," ","1978M12",0,0
" "," ","1979M01",0,0
" "," ","1979M02",0,0
" "," ","1979M03",0,0
" "," ","1979M04",0,0
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,0
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",0,0
" "," ","1979M11",0,0
" "," ","1979M12",0,0
" "," ","1980M01",0,0
" "," ","1980M02",0,0
" "," ","1980M03",0,0
" "," ","1980M04",0,0
" "," ","1980M05",0,0
" "," ","1980M06",0,0
" "," ","1980M07",0,0
" "," ","1980M08",0,0
" "," ","1980M09",0,0
" "," ","1980M10",0,0
" "," ","1980M11",0,0
" "," ","1980M12",0,0
" "," ","1981M01",0,0
" "," ","1981M02",0,0
" "," ","1981M03",0,0
" "," ","1981M04",0,0
" "," ","1981M05",0,0
" "," ","1981M06",0,0
" "," ","1981M07",0,0
" "," ","1981M08",0,0
" "," ","1981M09",0,0
" "," ","1981M10",0,0
" "," ","1981M11",0,0
" "," ","1981M12",0,0
" "," ","1982M01",0,0
" "," ","1982M02",0,0
" "," ","1982M03",0,0
" "," ","1982M04",0,0
" "," ","1982M05",0,0
" "," ","1982M06",0,0
" "," ","1982M07",0,0
" "," ","1982M08",0,0
" "," ","1982M09",0,0
" "," ","1982M10",0,0
" "," ","1982M11",0,0
" "," ","1982M12",0,0
" "," ","1983M01",0,0
" "," ","1983M02",0,0
" "," ","1983M03",0,0
" "," ","1983M04",0,0
" "," ","1983M05",0,0
" "," ","1983M06",0,0
" "," ","1983M07",0,0
" "," ","1983M08",0,0
" "," ","1983M09",0,0
" "," ","1983M10",0,0
" "," ","1983M11",0,0
" "," ","1983M12",0,0
" ","New Caledonia","1978M08",0,0
" "," ","1978M09",8,0
" "," ","1978M10",0,0
" "," ","1978M11",0,4
" "," ","1978M12",0,0
" "," ","1979M01",4,0
" "," ","1979M02",4,0
" "," ","1979M03",0,0
" "," ","1979M04",4,4
" "," ","1979M05",0,0
" "," ","1979M06",0,0
" "," ","1979M07",0,3
" "," ","1979M08",0,0
" "," ","1979M09",0,0
" "," ","1979M10",1,1
" "," ","1979M11",0,0
" "," ","1979M12",0,9
" "," ","1980M01",4,0
" "," ","1980M02",0,2
" "," ","1980M03",0,1
" "," ","1980M04",2,0
" "," ","1980M05",0,4
" "," ","1980M06",0,1
" "," ","1980M07",0,0
" "," ","1980M08",0,0
" "," ","1980M09",1,0
" "," ","1980M10",1,0
" "," ","1980M11",0,3
" "," ","1980M12",5,3
" "," ","1981M01",0,2
" "," ","1981M02",3,0
" "," ","1981M03",1,3
" "," ","1981M04",3,7
" "," ","1981M05",0,0
" "," ","1981M06",0,1
" "," ","1981M07",3,0
" "," ","1981M08",0,1
" "," ","1981M09",0,0
" "," ","1981M10",0,1
" "," ","1981M11",0,0
" "," ","1981M12",10,0
" "," ","1982M01",3,1
" "," ","1982M02",4,1
" "," ","1982M03",0,0
" "," ","1982M04",0,3
" "," ","1982M05",0,1
" "," ","1982M06",6,0
" "," ","1982M07",0,0
" "," ","1982M08",0,4
" "," ","1982M09",1,0
" "," ","1982M10",2,0
" "," ","1982M11",0,0
" "," ","1982M12",2,0
" "," ","1983M01",1,0
" "," ","1983M02",1,0
" "," ","1983M03",1,1
" "," ","1983M04",1,1
" "," ","1983M05",4,0
" "," ","1983M06",0,0
" "," ","1983M07",1,0
" "," ","1983M08",4,0
" "," ","1983M09",0,1
" "," ","1983M10",2,0
" "," ","1983M11",3,6
" "," ","1983M12",1,0
" ","Norfolk Island","1978M08",8,8
" "," ","1978M09",0,28
" "," ","1978M10",8,4
" "," ","1978M11",8,8
" "," ","1978M12",8,16
" "," ","1979M01",12,20
" "," ","1979M02",8,12
" "," ","1979M03",0,20
" "," ","1979M04",4,12
" "," ","1979M05",0,16
" "," ","1979M06",4,12
" "," ","1979M07",4,8
" "," ","1979M08",5,9
" "," ","1979M09",11,14
" "," ","1979M10",4,12
" "," ","1979M11",4,14
" "," ","1979M12",7,19
" "," ","1980M01",4,13
" "," ","1980M02",7,16
" "," ","1980M03",5,12
" "," ","1980M04",4,4
" "," ","1980M05",4,10
" "," ","1980M06",8,15
" "," ","1980M07",2,7
" "," ","1980M08",11,7
" "," ","1980M09",5,8
" "," ","1980M10",3,13
" "," ","1980M11",1,22
" "," ","1980M12",8,13
" "," ","1981M01",7,15
" "," ","1981M02",1,20
" "," ","1981M03",11,21
" "," ","1981M04",8,15
" "," ","1981M05",5,8
" "," ","1981M06",3,15
" "," ","1981M07",4,5
" "," ","1981M08",4,8
" "," ","1981M09",7,4
" "," ","1981M10",1,9
" "," ","1981M11",10,8
" "," ","1981M12",13,12
" "," ","1982M01",4,7
" "," ","1982M02",2,18
" "," ","1982M03",6,9
" "," ","1982M04",10,8
" "," ","1982M05",6,4
" "," ","1982M06",1,5
" "," ","1982M07",1,2
" "," ","1982M08",1,3
" "," ","1982M09",1,3
" "," ","1982M10",2,4
" "," ","1982M11",8,4
" "," ","1982M12",0,5
" "," ","1983M01",11,13
" "," ","1983M02",7,3
" "," ","1983M03",6,2
" "," ","1983M04",7,6
" "," ","1983M05",10,7
" "," ","1983M06",0,1
" "," ","1983M07",1,5
" "," ","1983M08",4,1
" "," ","1983M09",0,7
" "," ","1983M10",5,5
" "," ","1983M11",5,7
