"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
"New Zealand Citizen","OCEANIA","1978M04",848,3064
" "," ","1978M05",856,3076
" "," ","1978M06",652,2872
" "," ","1978M07",652,2900
" ","Antarctica","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Samoa, American","1978M04",4,0
" "," ","1978M05",0,0
" "," ","1978M06",4,4
" "," ","1978M07",0,0
" ","Australia","1978M04",620,2672
" "," ","1978M05",596,2740
" "," ","1978M06",448,2536
" "," ","1978M07",424,2528
" ","Cocos (Keeling) Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cook Islands","1978M04",36,36
" "," ","1978M05",20,20
" "," ","1978M06",12,24
" "," ","1978M07",4,12
" ","Christmas Island","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Fiji","1978M04",20,32
" "," ","1978M05",36,36
" "," ","1978M06",12,52
" "," ","1978M07",16,16
" ","Micronesia, Federated States of","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Guam","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Kiribati","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Marshall Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Northern Mariana Islands","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","New Caledonia","1978M04",0,8
" "," ","1978M05",4,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Norfolk Island","1978M04",4,16
" "," ","1978M05",0,24
" "," ","1978M06",4,4
" "," ","1978M07",0,12
" ","Nauru","1978M04",8,4
" "," ","1978M05",8,16
" "," ","1978M06",0,12
" "," ","1978M07",0,16
" ","Niue","1978M04",12,0
" "," ","1978M05",8,4
" "," ","1978M06",16,4
" "," ","1978M07",24,4
" ","New Zealand","1978M04",76,132
" "," ","1978M05",108,60
" "," ","1978M06",128,100
" "," ","1978M07",128,124
" ","French Polynesia","1978M04",0,4
" "," ","1978M05",4,4
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Papua New Guinea","1978M04",44,112
" "," ","1978M05",28,104
" "," ","1978M06",8,72
" "," ","1978M07",32,96
" ","Pitcairn","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Palau","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Solomon Islands","1978M04",4,4
" "," ","1978M05",4,4
" "," ","1978M06",4,0
" "," ","1978M07",4,0
" ","French Southern Territories","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Tokelau","1978M04",0,4
" "," ","1978M05",0,0
" "," ","1978M06",4,0
" "," ","1978M07",0,12
" ","Tonga","1978M04",8,8
" "," ","1978M05",4,8
" "," ","1978M06",4,36
" "," ","1978M07",8,20
" ","Tuvalu","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,4
" ","Vanuatu","1978M04",4,4
" "," ","1978M05",0,8
" "," ","1978M06",0,4
" "," ","1978M07",0,4
" ","Wallis and Futuna","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Samoa","1978M04",8,28
" "," ","1978M05",36,44
" "," ","1978M06",8,24
" "," ","1978M07",12,52
" ","ASIA","1978M04",72,96
" "," ","1978M05",436,432
" "," ","1978M06",80,80
" "," ","1978M07",96,108
" ","Afghanistan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Armenia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Azerbaijan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Bangladesh","1978M04",0,4
" "," ","1978M05",4,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Brunei Darussalam","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Bhutan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","China, People's Republic of","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",4,0
" ","Georgia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Hong Kong (Special Administrative Region)","1978M04",4,24
" "," ","1978M05",12,0
" "," ","1978M06",12,8
" "," ","1978M07",16,12
" ","Indonesia","1978M04",16,0
" "," ","1978M05",12,24
" "," ","1978M06",16,8
" "," ","1978M07",8,16
" ","India","1978M04",16,0
" "," ","1978M05",4,16
" "," ","1978M06",8,8
" "," ","1978M07",12,8
" ","Japan","1978M04",0,8
" "," ","1978M05",8,0
" "," ","1978M06",0,4
" "," ","1978M07",12,4
" ","Kyrgyzstan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Cambodia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Korea, Democratic People's Republic of","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Korea, Republic of","1978M04",4,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Kazakhstan","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Laos","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Sri Lanka","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Burma (Myanmar)","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Mongolia","1978M04",0,0
" "," ","1978M05",0,0
" "," ","1978M06",0,0
" "," ","1978M07",0,0
" ","Macau (Special Administrative Region)","1978M04",0,0
" "," ","1978M05",0,0
