"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","1995M08",0,0
" "," ","1995M09",0,0
" "," ","1995M10",0,0
" "," ","1995M11",0,0
" "," ","1995M12",0,0
" "," ","1996M01",0,0
" "," ","1996M02",0,0
" "," ","1996M03",0,0
" "," ","1996M04",0,0
" "," ","1996M05",0,0
" "," ","1996M06",0,0
" "," ","1996M07",0,0
" "," ","1996M08",0,0
" "," ","1996M09",0,0
" "," ","1996M10",0,0
" "," ","1996M11",0,0
" "," ","1996M12",0,0
" "," ","1997M01",0,0
" "," ","1997M02",0,0
" "," ","1997M03",0,0
" "," ","1997M04",0,0
" "," ","1997M05",0,0
" "," ","1997M06",0,0
" "," ","1997M07",0,0
" "," ","1997M08",0,0
" "," ","1997M09",0,0
" "," ","1997M10",0,0
" "," ","1997M11",0,0
" "," ","1997M12",0,0
" "," ","1998M01",0,0
" "," ","1998M02",0,0
" "," ","1998M03",0,0
" "," ","1998M04",0,0
" "," ","1998M05",0,0
" "," ","1998M06",0,0
" "," ","1998M07",0,1
" "," ","1998M08",0,1
" "," ","1998M09",0,1
" "," ","1998M10",0,0
" "," ","1998M11",0,0
" "," ","1998M12",0,0
" "," ","1999M01",0,1
" "," ","1999M02",0,1
" "," ","1999M03",0,0
" "," ","1999M04",0,0
" "," ","1999M05",0,0
" "," ","1999M06",0,0
" "," ","1999M07",0,0
" "," ","1999M08",0,0
" "," ","1999M09",0,0
" "," ","1999M10",0,0
" "," ","1999M11",0,0
" "," ","1999M12",0,0
" "," ","2000M01",0,1
" "," ","2000M02",0,0
" "," ","2000M03",0,0
" ","Samoa, American","1994M11",0,0
" "," ","1994M12",5,2
" "," ","1995M01",3,1
" "," ","1995M02",0,2
" "," ","1995M03",3,1
" "," ","1995M04",2,2
" "," ","1995M05",7,1
" "," ","1995M06",1,0
" "," ","1995M07",2,2
" "," ","1995M08",1,0
" "," ","1995M09",2,4
" "," ","1995M10",0,0
" "," ","1995M11",2,0
" "," ","1995M12",1,2
" "," ","1996M01",4,0
" "," ","1996M02",1,3
" "," ","1996M03",5,0
" "," ","1996M04",2,0
" "," ","1996M05",2,0
" "," ","1996M06",0,2
" "," ","1996M07",2,3
" "," ","1996M08",1,0
" "," ","1996M09",0,0
" "," ","1996M10",6,6
" "," ","1996M11",0,0
" "," ","1996M12",1,1
" "," ","1997M01",0,6
" "," ","1997M02",1,2
" "," ","1997M03",3,3
" "," ","1997M04",1,0
" "," ","1997M05",0,0
" "," ","1997M06",1,0
" "," ","1997M07",3,0
" "," ","1997M08",0,2
" "," ","1997M09",5,1
" "," ","1997M10",4,1
" "," ","1997M11",0,1
" "," ","1997M12",1,7
" "," ","1998M01",2,0
" "," ","1998M02",3,0
" "," ","1998M03",0,2
" "," ","1998M04",1,2
" "," ","1998M05",1,1
" "," ","1998M06",2,6
" "," ","1998M07",4,0
" "," ","1998M08",2,8
" "," ","1998M09",4,0
" "," ","1998M10",1,0
" "," ","1998M11",1,1
" "," ","1998M12",4,2
" "," ","1999M01",1,5
" "," ","1999M02",2,3
" "," ","1999M03",0,4
" "," ","1999M04",0,0
" "," ","1999M05",0,2
" "," ","1999M06",4,3
" "," ","1999M07",0,7
" "," ","1999M08",0,1
" "," ","1999M09",1,0
" "," ","1999M10",0,3
" "," ","1999M11",0,3
" "," ","1999M12",2,0
" "," ","2000M01",2,6
" "," ","2000M02",3,0
" "," ","2000M03",0,3
" ","Australia","1994M11",705,1239
" "," ","1994M12",1183,1587
" "," ","1995M01",869,2218
" "," ","1995M02",675,1596
" "," ","1995M03",710,1618
" "," ","1995M04",563,1534
" "," ","1995M05",521,1533
" "," ","1995M06",469,1418
" "," ","1995M07",567,1564
" "," ","1995M08",578,1293
" "," ","1995M09",586,1444
" "," ","1995M10",646,1336
" "," ","1995M11",707,1360
" "," ","1995M12",1129,1770
" "," ","1996M01",794,2360
" "," ","1996M02",606,1731
" "," ","1996M03",671,1880
" "," ","1996M04",563,1841
" "," ","1996M05",532,1572
" "," ","1996M06",479,1728
" "," ","1996M07",483,1589
" "," ","1996M08",494,1409
" "," ","1996M09",481,1428
" "," ","1996M10",606,1370
" "," ","1996M11",668,1600
" "," ","1996M12",1025,1793
" "," ","1997M01",750,2786
" "," ","1997M02",680,1984
" "," ","1997M03",624,2153
" "," ","1997M04",526,2045
" "," ","1997M05",533,1843
" "," ","1997M06",566,1675
" "," ","1997M07",518,1710
" "," ","1997M08",497,1661
" "," ","1997M09",471,1580
" "," ","1997M10",512,1485
" "," ","1997M11",587,1597
" "," ","1997M12",960,2003
" "," ","1998M01",755,2756
" "," ","1998M02",584,2070
" "," ","1998M03",504,2155
" "," ","1998M04",574,2031
" "," ","1998M05",539,1923
" "," ","1998M06",699,1843
" "," ","1998M07",387,1916
" "," ","1998M08",393,2101
" "," ","1998M09",396,1944
" "," ","1998M10",456,2081
" "," ","1998M11",471,1942
" "," ","1998M12",890,2488
" "," ","1999M01",634,3458
" "," ","1999M02",533,2664
" "," ","1999M03",544,2590
" "," ","1999M04",481,2541
" "," ","1999M05",426,2572
" "," ","1999M06",477,2100
" "," ","1999M07",485,2321
" "," ","1999M08",434,2216
" "," ","1999M09",503,2064
" "," ","1999M10",544,2440
" "," ","1999M11",626,2244
" "," ","1999M12",1115,3036
" "," ","2000M01",670,4690
" "," ","2000M02",547,2826
" "," ","2000M03",538,2771
" ","Cocos (Keeling) Islands","1994M11",0,0
" "," ","1994M12",0,0
" "," ","1995M01",0,0
" "," ","1995M02",0,0
" "," ","1995M03",0,0
" "," ","1995M04",0,0
" "," ","1995M05",0,0
" "," ","1995M06",0,0
