"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
"New Zealand Citizen","OCEANIA","1989M06",798,2580
" "," ","1989M07",901,2416
" "," ","1989M08",956,2039
" "," ","1989M09",929,2122
" "," ","1989M10",1037,1684
" "," ","1989M11",1104,1729
" "," ","1989M12",2356,2147
" "," ","1990M01",1415,2529
" "," ","1990M02",1324,2198
" "," ","1990M03",1323,2182
" "," ","1990M04",1371,1894
" "," ","1990M05",1169,1584
" "," ","1990M06",1130,1623
" "," ","1990M07",1167,1449
" "," ","1990M08",1213,1294
" "," ","1990M09",1253,1342
" "," ","1990M10",1347,1091
" "," ","1990M11",1408,1112
" "," ","1990M12",2486,1529
" "," ","1991M01",1425,1962
" "," ","1991M02",1352,1431
" "," ","1991M03",1251,1291
" "," ","1991M04",966,1097
" "," ","1991M05",890,1108
" "," ","1991M06",739,988
" "," ","1991M07",711,969
" "," ","1991M08",795,982
" "," ","1991M09",702,1077
" "," ","1991M10",720,1078
" "," ","1991M11",865,1341
" "," ","1991M12",1337,1496
" "," ","1992M01",1092,1964
" "," ","1992M02",924,1499
" "," ","1992M03",865,1360
" "," ","1992M04",816,1162
" "," ","1992M05",796,1271
" "," ","1992M06",662,1079
" "," ","1992M07",546,1086
" "," ","1992M08",657,1093
" "," ","1992M09",691,1210
" "," ","1992M10",742,1147
" "," ","1992M11",816,1029
" "," ","1992M12",1435,1653
" "," ","1993M01",962,1906
" "," ","1993M02",791,1556
" "," ","1993M03",706,1623
" "," ","1993M04",635,1389
" "," ","1993M05",581,1283
" "," ","1993M06",628,1217
" "," ","1993M07",711,1051
" "," ","1993M08",725,1147
" "," ","1993M09",760,1263
" "," ","1993M10",782,1328
" "," ","1993M11",841,1245
" "," ","1993M12",1560,1658
" "," ","1994M01",1012,2180
" "," ","1994M02",872,1683
" "," ","1994M03",839,1734
" "," ","1994M04",780,1701
" "," ","1994M05",719,1548
" "," ","1994M06",689,1548
" "," ","1994M07",674,1544
" "," ","1994M08",741,1616
" "," ","1994M09",693,1384
" "," ","1994M10",698,1463
" ","Antarctica","1989M06",0,0
" "," ","1989M07",0,0
" "," ","1989M08",0,0
" "," ","1989M09",0,0
" "," ","1989M10",0,0
" "," ","1989M11",1,0
" "," ","1989M12",0,0
" "," ","1990M01",0,0
" "," ","1990M02",0,0
" "," ","1990M03",1,0
" "," ","1990M04",0,0
" "," ","1990M05",0,0
" "," ","1990M06",0,0
" "," ","1990M07",0,0
" "," ","1990M08",0,0
" "," ","1990M09",0,0
" "," ","1990M10",0,0
" "," ","1990M11",0,0
" "," ","1990M12",0,1
" "," ","1991M01",0,0
" "," ","1991M02",0,0
" "," ","1991M03",0,0
" "," ","1991M04",0,0
" "," ","1991M05",0,0
" "," ","1991M06",0,0
" "," ","1991M07",0,0
" "," ","1991M08",0,0
" "," ","1991M09",0,0
" "," ","1991M10",0,0
" "," ","1991M11",0,0
" "," ","1991M12",0,0
" "," ","1992M01",0,0
" "," ","1992M02",0,0
" "," ","1992M03",0,0
" "," ","1992M04",0,0
" "," ","1992M05",0,0
" "," ","1992M06",0,0
" "," ","1992M07",0,0
" "," ","1992M08",0,0
" "," ","1992M09",0,0
" "," ","1992M10",0,0
" "," ","1992M11",0,0
" "," ","1992M12",0,0
" "," ","1993M01",0,0
" "," ","1993M02",1,0
" "," ","1993M03",0,0
" "," ","1993M04",1,0
" "," ","1993M05",0,0
" "," ","1993M06",0,0
" "," ","1993M07",0,0
" "," ","1993M08",0,0
" "," ","1993M09",0,0
" "," ","1993M10",0,0
" "," ","1993M11",0,0
" "," ","1993M12",0,0
" "," ","1994M01",0,0
" "," ","1994M02",0,0
" "," ","1994M03",0,0
" "," ","1994M04",0,0
" "," ","1994M05",0,0
" "," ","1994M06",0,0
" "," ","1994M07",0,0
" "," ","1994M08",0,0
" "," ","1994M09",0,0
" "," ","1994M10",0,0
" ","Samoa, American","1989M06",1,2
" "," ","1989M07",1,0
" "," ","1989M08",4,2
" "," ","1989M09",1,3
" "," ","1989M10",4,5
" "," ","1989M11",3,1
" "," ","1989M12",9,2
" "," ","1990M01",2,10
" "," ","1990M02",1,1
" "," ","1990M03",3,0
" "," ","1990M04",4,1
" "," ","1990M05",1,5
" "," ","1990M06",2,4
" "," ","1990M07",6,0
" "," ","1990M08",1,2
" "," ","1990M09",0,1
" "," ","1990M10",2,0
" "," ","1990M11",1,0
" "," ","1990M12",9,2
" "," ","1991M01",1,1
" "," ","1991M02",0,0
" "," ","1991M03",5,2
" "," ","1991M04",0,2
" "," ","1991M05",0,0
" "," ","1991M06",3,3
" "," ","1991M07",0,4
" "," ","1991M08",5,5
" "," ","1991M09",0,3
" "," ","1991M10",1,0
" "," ","1991M11",0,2
" "," ","1991M12",1,2
" "," ","1992M01",1,5
" "," ","1992M02",2,1
" "," ","1992M03",0,7
" "," ","1992M04",2,0
" "," ","1992M05",1,3
" "," ","1992M06",2,0
" "," ","1992M07",1,0
" "," ","1992M08",0,4
" "," ","1992M09",1,1
" "," ","1992M10",1,0
" "," ","1992M11",2,2
" "," ","1992M12",11,3
" "," ","1993M01",1,5
" "," ","1993M02",5,4
" "," ","1993M03",1,3
" "," ","1993M04",0,1
" "," ","1993M05",0,0
" "," ","1993M06",6,0
" "," ","1993M07",6,3
" "," ","1993M08",2,2
" "," ","1993M09",2,1
" "," ","1993M10",0,1
" "," ","1993M11",1,3
" "," ","1993M12",8,2
" "," ","1994M01",0,3
" "," ","1994M02",5,2
" "," ","1994M03",3,0
" "," ","1994M04",3,0
" "," ","1994M05",3,4
" "," ","1994M06",5,1
" "," ","1994M07",1,0
" "," ","1994M08",5,5
" "," ","1994M09",1,11
" "," ","1994M10",2,2
" ","Australia","1989M06",677,2322
" "," ","1989M07",784,2165
" "," ","1989M08",746,1831
" "," ","1989M09",759,1903
" "," ","1989M10",874,1501
" "," ","1989M11",901,1539
" "," ","1989M12",1811,1878
" "," ","1990M01",1083,2165
" "," ","1990M02",1120,1912
" "," ","1990M03",1164,1912
" "," ","1990M04",1157,1639
" "," ","1990M05",1012,1322
" "," ","1990M06",954,1416
" "," ","1990M07",968,1224
" "," ","1990M08",1037,1100
" "," ","1990M09",1073,1159
" "," ","1990M10",1155,940
" "," ","1990M11",1224,915
" "," ","1990M12",2108,1274
" "," ","1991M01",1208,1651
" "," ","1991M02",1186,1238
" "," ","1991M03",1117,1147
" "," ","1991M04",882,971
" "," ","1991M05",794,963
" "," ","1991M06",666,885
" "," ","1991M07",645,835
" "," ","1991M08",706,814
" "," ","1991M09",642,945
" "," ","1991M10",662,944
" "," ","1991M11",799,1152
" "," ","1991M12",1108,1250
" "," ","1992M01",916,1686
" "," ","1992M02",806,1244
" "," ","1992M03",759,1196
" "," ","1992M04",755,1049
" "," ","1992M05",709,1110
" "," ","1992M06",591,967
" "," ","1992M07",490,976
" "," ","1992M08",577,996
" "," ","1992M09",585,1070
" "," ","1992M10",668,1025
" "," ","1992M11",700,881
" "," ","1992M12",1102,1380
" "," ","1993M01",785,1528
" "," ","1993M02",685,1177
" "," ","1993M03",612,1178
" "," ","1993M04",531,1025
" "," ","1993M05",513,992
" "," ","1993M06",530,1019
" "," ","1993M07",619,937
" "," ","1993M08",623,840
" "," ","1993M09",691,1106
" "," ","1993M10",692,1043
" "," ","1993M11",757,1034
" "," ","1993M12",1203,1339
" "," ","1994M01",780,1779
" "," ","1994M02",698,1447
" "," ","1994M03",738,1386
" "," ","1994M04",662,1376
" "," ","1994M05",617,1270
" "," ","1994M06",596,1302
" "," ","1994M07",593,1262
" "," ","1994M08",625,1317
" "," ","1994M09",559,1228
" "," ","1994M10",577,1236
" ","Cocos (Keeling) Islands","1989M06",0,0
" "," ","1989M07",0,0
" "," ","1989M08",0,0
" "," ","1989M09",0,0
" "," ","1989M10",0,0
" "," ","1989M11",0,0
" "," ","1989M12",0,0
" "," ","1990M01",0,0
" "," ","1990M02",0,0
" "," ","1990M03",0,0
" "," ","1990M04",0,0
" "," ","1990M05",0,0
" "," ","1990M06",0,0
" "," ","1990M07",0,0
" "," ","1990M08",0,0
" "," ","1990M09",0,0
" "," ","1990M10",0,0
" "," ","1990M11",0,0
" "," ","1990M12",0,0
" "," ","1991M01",0,0
" "," ","1991M02",0,0
" "," ","1991M03",0,0
" "," ","1991M04",0,0
" "," ","1991M05",0,0
" "," ","1991M06",0,0
" "," ","1991M07",0,0
" "," ","1991M08",0,0
" "," ","1991M09",0,0
" "," ","1991M10",0,0
" "," ","1991M11",0,0
" "," ","1991M12",0,0
" "," ","1992M01",0,0
" "," ","1992M02",0,0
" "," ","1992M03",0,0
" "," ","1992M04",0,0
" "," ","1992M05",0,0
" "," ","1992M06",0,0
" "," ","1992M07",0,0
" "," ","1992M08",0,0
" "," ","1992M09",0,0
" "," ","1992M10",0,0
" "," ","1992M11",0,0
" "," ","1992M12",0,0
" "," ","1993M01",0,0
" "," ","1993M02",0,0
" "," ","1993M03",0,0
" "," ","1993M04",0,0
" "," ","1993M05",0,0
" "," ","1993M06",0,0
" "," ","1993M07",0,0
" "," ","1993M08",0,0
" "," ","1993M09",0,0
" "," ","1993M10",0,0
" "," ","1993M11",0,0
" "," ","1993M12",0,0
" "," ","1994M01",0,0
" "," ","1994M02",0,0
" "," ","1994M03",0,0
" "," ","1994M04",0,0
" "," ","1994M05",0,0
" "," ","1994M06",0,0
