"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","1994M07",0,0
" "," ","1994M08",0,0
" "," ","1994M09",0,0
" "," ","1994M10",0,0
" ","Cook Islands","1989M06",17,15
" "," ","1989M07",15,32
" "," ","1989M08",21,34
" "," ","1989M09",22,39
" "," ","1989M10",14,16
" "," ","1989M11",8,31
" "," ","1989M12",42,47
" "," ","1990M01",32,45
" "," ","1990M02",23,19
" "," ","1990M03",13,32
" "," ","1990M04",11,24
" "," ","1990M05",10,35
" "," ","1990M06",15,13
" "," ","1990M07",11,29
" "," ","1990M08",20,28
" "," ","1990M09",17,32
" "," ","1990M10",17,12
" "," ","1990M11",8,20
" "," ","1990M12",31,43
" "," ","1991M01",22,38
" "," ","1991M02",26,10
" "," ","1991M03",29,22
" "," ","1991M04",10,25
" "," ","1991M05",16,18
" "," ","1991M06",11,28
" "," ","1991M07",9,18
" "," ","1991M08",19,39
" "," ","1991M09",6,28
" "," ","1991M10",4,20
" "," ","1991M11",9,51
" "," ","1991M12",44,47
" "," ","1992M01",15,92
" "," ","1992M02",8,33
" "," ","1992M03",4,39
" "," ","1992M04",5,19
" "," ","1992M05",7,28
" "," ","1992M06",16,33
" "," ","1992M07",7,24
" "," ","1992M08",9,14
" "," ","1992M09",4,46
" "," ","1992M10",13,40
" "," ","1992M11",11,42
" "," ","1992M12",36,78
" "," ","1993M01",29,26
" "," ","1993M02",26,26
" "," ","1993M03",16,26
" "," ","1993M04",12,33
" "," ","1993M05",7,16
" "," ","1993M06",10,23
" "," ","1993M07",11,19
" "," ","1993M08",5,17
" "," ","1993M09",5,29
" "," ","1993M10",16,22
" "," ","1993M11",12,26
" "," ","1993M12",30,45
" "," ","1994M01",39,64
" "," ","1994M02",40,17
" "," ","1994M03",15,20
" "," ","1994M04",36,20
" "," ","1994M05",19,24
" "," ","1994M06",18,29
" "," ","1994M07",14,23
" "," ","1994M08",21,33
" "," ","1994M09",19,14
" "," ","1994M10",15,28
" ","Christmas Island","1989M06",0,0
" "," ","1989M07",0,0
" "," ","1989M08",0,0
" "," ","1989M09",0,0
" "," ","1989M10",0,0
" "," ","1989M11",0,0
" "," ","1989M12",0,0
" "," ","1990M01",0,0
" "," ","1990M02",0,0
" "," ","1990M03",0,0
" "," ","1990M04",0,0
" "," ","1990M05",0,0
" "," ","1990M06",0,0
" "," ","1990M07",0,0
" "," ","1990M08",0,0
" "," ","1990M09",0,0
" "," ","1990M10",0,0
" "," ","1990M11",0,0
" "," ","1990M12",0,0
" "," ","1991M01",0,0
" "," ","1991M02",0,0
" "," ","1991M03",0,0
" "," ","1991M04",0,0
" "," ","1991M05",0,0
" "," ","1991M06",0,0
" "," ","1991M07",0,0
" "," ","1991M08",0,0
" "," ","1991M09",0,0
" "," ","1991M10",0,0
" "," ","1991M11",0,0
" "," ","1991M12",0,0
" "," ","1992M01",0,0
" "," ","1992M02",0,0
" "," ","1992M03",0,0
" "," ","1992M04",0,0
" "," ","1992M05",0,0
" "," ","1992M06",0,0
" "," ","1992M07",0,0
" "," ","1992M08",0,0
" "," ","1992M09",0,0
" "," ","1992M10",0,0
" "," ","1992M11",0,0
" "," ","1992M12",0,0
" "," ","1993M01",0,0
" "," ","1993M02",0,0
" "," ","1993M03",0,0
" "," ","1993M04",0,0
" "," ","1993M05",0,0
" "," ","1993M06",0,0
" "," ","1993M07",0,0
" "," ","1993M08",0,0
" "," ","1993M09",0,0
" "," ","1993M10",0,0
" "," ","1993M11",0,0
" "," ","1993M12",0,0
" "," ","1994M01",0,0
" "," ","1994M02",0,0
" "," ","1994M03",0,0
" "," ","1994M04",0,0
" "," ","1994M05",0,0
" "," ","1994M06",0,0
" "," ","1994M07",0,0
" "," ","1994M08",0,0
" "," ","1994M09",0,0
" "," ","1994M10",0,0
" ","Fiji","1989M06",9,11
" "," ","1989M07",1,11
" "," ","1989M08",14,9
" "," ","1989M09",13,13
" "," ","1989M10",7,4
" "," ","1989M11",12,9
" "," ","1989M12",18,16
" "," ","1990M01",50,59
" "," ","1990M02",19,33
" "," ","1990M03",12,13
" "," ","1990M04",9,23
" "," ","1990M05",10,7
" "," ","1990M06",6,10
" "," ","1990M07",9,16
" "," ","1990M08",20,5
" "," ","1990M09",4,5
" "," ","1990M10",7,16
" "," ","1990M11",7,13
" "," ","1990M12",34,8
" "," ","1991M01",36,27
" "," ","1991M02",9,15
" "," ","1991M03",9,13
" "," ","1991M04",6,15
" "," ","1991M05",3,14
" "," ","1991M06",6,9
" "," ","1991M07",7,18
" "," ","1991M08",1,12
" "," ","1991M09",6,18
" "," ","1991M10",8,16
" "," ","1991M11",16,12
" "," ","1991M12",29,13
" "," ","1992M01",39,32
" "," ","1992M02",6,21
" "," ","1992M03",13,4
" "," ","1992M04",13,17
" "," ","1992M05",12,22
" "," ","1992M06",7,9
" "," ","1992M07",9,16
" "," ","1992M08",3,6
" "," ","1992M09",13,12
" "," ","1992M10",6,9
" "," ","1992M11",19,14
" "," ","1992M12",17,14
" "," ","1993M01",12,24
" "," ","1993M02",11,13
" "," ","1993M03",10,12
" "," ","1993M04",9,5
" "," ","1993M05",19,21
" "," ","1993M06",6,19
" "," ","1993M07",7,14
" "," ","1993M08",18,31
" "," ","1993M09",13,19
" "," ","1993M10",7,8
" "," ","1993M11",11,15
" "," ","1993M12",51,27
" "," ","1994M01",24,39
" "," ","1994M02",18,2
" "," ","1994M03",4,6
" "," ","1994M04",14,5
" "," ","1994M05",3,8
" "," ","1994M06",8,14
" "," ","1994M07",15,17
" "," ","1994M08",12,6
" "," ","1994M09",11,11
" "," ","1994M10",20,10
" ","Micronesia, Federated States of","1989M06",0,0
" "," ","1989M07",0,0
" "," ","1989M08",0,0
" "," ","1989M09",0,0
" "," ","1989M10",0,0
" "," ","1989M11",0,0
" "," ","1989M12",0,0
" "," ","1990M01",0,0
" "," ","1990M02",0,0
" "," ","1990M03",0,0
" "," ","1990M04",0,0
" "," ","1990M05",0,0
" "," ","1990M06",0,0
" "," ","1990M07",0,1
" "," ","1990M08",0,0
" "," ","1990M09",0,0
" "," ","1990M10",1,0
" "," ","1990M11",0,3
" "," ","1990M12",0,0
" "," ","1991M01",0,0
" "," ","1991M02",0,1
" "," ","1991M03",0,3
" "," ","1991M04",0,0
" "," ","1991M05",0,0
" "," ","1991M06",0,0
" "," ","1991M07",0,0
" "," ","1991M08",0,0
" "," ","1991M09",0,0
" "," ","1991M10",0,0
" "," ","1991M11",0,0
" "," ","1991M12",0,0
" "," ","1992M01",0,0
" "," ","1992M02",0,0
" "," ","1992M03",0,0
" "," ","1992M04",0,0
" "," ","1992M05",0,0
" "," ","1992M06",0,0
" "," ","1992M07",0,0
" "," ","1992M08",0,0
" "," ","1992M09",0,0
" "," ","1992M10",0,0
" "," ","1992M11",0,0
" "," ","1992M12",0,0
" "," ","1993M01",0,0
" "," ","1993M02",0,0
" "," ","1993M03",0,0
" "," ","1993M04",0,0
" "," ","1993M05",0,4
" "," ","1993M06",0,3
" "," ","1993M07",0,0
" "," ","1993M08",0,0
" "," ","1993M09",0,0
" "," ","1993M10",0,0
" "," ","1993M11",0,0
" "," ","1993M12",0,0
" "," ","1994M01",0,0
" "," ","1994M02",1,0
" "," ","1994M03",0,0
" "," ","1994M04",0,0
" "," ","1994M05",0,1
" "," ","1994M06",0,0
" "," ","1994M07",0,0
" "," ","1994M08",1,0
" "," ","1994M09",0,0
" "," ","1994M10",0,1
" ","Guam","1989M06",0,5
" "," ","1989M07",0,1
" "," ","1989M08",0,2
" "," ","1989M09",0,2
" "," ","1989M10",0,0
" "," ","1989M11",0,1
" "," ","1989M12",0,1
" "," ","1990M01",0,3
" "," ","1990M02",0,0
" "," ","1990M03",1,0
" "," ","1990M04",0,1
" "," ","1990M05",0,2
" "," ","1990M06",0,0
" "," ","1990M07",0,5
" "," ","1990M08",0,2
" "," ","1990M09",0,5
" "," ","1990M10",0,0
" "," ","1990M11",1,0
" "," ","1990M12",0,1
" "," ","1991M01",1,3
" "," ","1991M02",0,0
" "," ","1991M03",0,9
" "," ","1991M04",0,2
" "," ","1991M05",0,3
" "," ","1991M06",0,4
" "," ","1991M07",0,1
" "," ","1991M08",0,6
" "," ","1991M09",0,0
" "," ","1991M10",0,7
" "," ","1991M11",0,0
" "," ","1991M12",0,3
" "," ","1992M01",0,0
" "," ","1992M02",0,0
" "," ","1992M03",0,4
" "," ","1992M04",1,4
" "," ","1992M05",2,2
" "," ","1992M06",0,1
" "," ","1992M07",0,1
" "," ","1992M08",0,3
" "," ","1992M09",3,0
" "," ","1992M10",0,1
" "," ","1992M11",0,2
" "," ","1992M12",1,7
" "," ","1993M01",0,0
" "," ","1993M02",0,4
" "," ","1993M03",0,0
" "," ","1993M04",0,0
" "," ","1993M05",3,1
" "," ","1993M06",0,3
" "," ","1993M07",0,2
" "," ","1993M08",1,0
" "," ","1993M09",1,1
" "," ","1993M10",3,0
" "," ","1993M11",0,3
" "," ","1993M12",0,1
" "," ","1994M01",1,1
" "," ","1994M02",0,0
" "," ","1994M03",1,0
" "," ","1994M04",6,0
" "," ","1994M05",0,0
" "," ","1994M06",0,0
" "," ","1994M07",0,1
" "," ","1994M08",0,1
" "," ","1994M09",0,0
" "," ","1994M10",2,0
" ","Kiribati","1989M06",0,1
" "," ","1989M07",0,0
" "," ","1989M08",1,0
" "," ","1989M09",0,0
" "," ","1989M10",0,1
" "," ","1989M11",0,0
" "," ","1989M12",5,0
" "," ","1990M01",2,1
" "," ","1990M02",2,4
" "," ","1990M03",2,0
" "," ","1990M04",0,0
" "," ","1990M05",2,1
" "," ","1990M06",0,2
" "," ","1990M07",0,4
" "," ","1990M08",0,0
" "," ","1990M09",0,0
" "," ","1990M10",1,1
" "," ","1990M11",0,0
" "," ","1990M12",0,1
" "," ","1991M01",1,1
" "," ","1991M02",1,3
" "," ","1991M03",0,1
" "," ","1991M04",1,0
" "," ","1991M05",0,3
" "," ","1991M06",4,1
" "," ","1991M07",1,0
" "," ","1991M08",2,0
" "," ","1991M09",0,1
" "," ","1991M10",0,0
" "," ","1991M11",1,1
" "," ","1991M12",1,1
" "," ","1992M01",4,0
" "," ","1992M02",0,0
" "," ","1992M03",5,2
" "," ","1992M04",0,1
" "," ","1992M05",0,0
" "," ","1992M06",0,0
" "," ","1992M07",0,0
" "," ","1992M08",0,1
" "," ","1992M09",3,0
" "," ","1992M10",0,0
" "," ","1992M11",0,0
" "," ","1992M12",0,5
" "," ","1993M01",0,1
" "," ","1993M02",1,1
" "," ","1993M03",2,0
" "," ","1993M04",1,0
" "," ","1993M05",0,3
" "," ","1993M06",0,0
" "," ","1993M07",0,0
" "," ","1993M08",0,0
" "," ","1993M09",0,0
" "," ","1993M10",0,0
" "," ","1993M11",1,0
" "," ","1993M12",1,0
" "," ","1994M01",0,0
" "," ","1994M02",0,1
" "," ","1994M03",0,1
" "," ","1994M04",0,0
" "," ","1994M05",2,0
" "," ","1994M06",0,1
" "," ","1994M07",1,1
" "," ","1994M08",0,1
" "," ","1994M09",0,0
" "," ","1994M10",0,0
" ","Marshall Islands","1989M06",0,1
" "," ","1989M07",0,0
" "," ","1989M08",0,0
" "," ","1989M09",0,1
" "," ","1989M10",1,0
" "," ","1989M11",0,0
" "," ","1989M12",1,0
" "," ","1990M01",0,0
" "," ","1990M02",0,0
" "," ","1990M03",0,3
" "," ","1990M04",0,4
" "," ","1990M05",0,1
" "," ","1990M06",0,3
" "," ","1990M07",5,0
" "," ","1990M08",0,1
" "," ","1990M09",0,0
" "," ","1990M10",0,0
" "," ","1990M11",0,0
" "," ","1990M12",0,2
" "," ","1991M01",0,0
" "," ","1991M02",0,0
" "," ","1991M03",5,0
" "," ","1991M04",0,0
" "," ","1991M05",4,0
" "," ","1991M06",0,0
" "," ","1991M07",0,0
" "," ","1991M08",0,0
" "," ","1991M09",0,0
" "," ","1991M10",0,1
" "," ","1991M11",0,0
" "," ","1991M12",0,2
" "," ","1992M01",1,0
" "," ","1992M02",0,1
" "," ","1992M03",0,2
" "," ","1992M04",0,1
" "," ","1992M05",0,2
" "," ","1992M06",0,0
" "," ","1992M07",0,4
" "," ","1992M08",0,0
" "," ","1992M09",0,4
" "," ","1992M10",0,0
" "," ","1992M11",0,1
" "," ","1992M12",0,0
" "," ","1993M01",0,1
" "," ","1993M02",0,0
" "," ","1993M03",0,0
" "," ","1993M04",0,0
" "," ","1993M05",0,0
" "," ","1993M06",0,0
" "," ","1993M07",1,0
" "," ","1993M08",0,0
" "," ","1993M09",0,0
" "," ","1993M10",0,1
" "," ","1993M11",0,0
" "," ","1993M12",0,4
" "," ","1994M01",1,0
" "," ","1994M02",0,0
" "," ","1994M03",0,0
" "," ","1994M04",2,0
" "," ","1994M05",0,1
" "," ","1994M06",0,1
" "," ","1994M07",0,0
" "," ","1994M08",0,0
" "," ","1994M09",0,0
" "," ","1994M10",0,0
" ","Northern Mariana Islands","1989M06",0,0
" "," ","1989M07",0,0
" "," ","1989M08",0,0
" "," ","1989M09",0,0
" "," ","1989M10",0,0
" "," ","1989M11",0,0
" "," ","1989M12",0,2
" "," ","1990M01",0,1
" "," ","1990M02",2,2
" "," ","1990M03",0,0
" "," ","1990M04",0,0
" "," ","1990M05",0,0
" "," ","1990M06",0,0
" "," ","1990M07",0,0
" "," ","1990M08",0,0
" "," ","1990M09",0,1
" "," ","1990M10",0,0
" "," ","1990M11",0,1
" "," ","1990M12",0,0
" "," ","1991M01",0,0
" "," ","1991M02",0,0
" "," ","1991M03",0,0
" "," ","1991M04",0,0
" "," ","1991M05",0,1
" "," ","1991M06",0,0
" "," ","1991M07",0,0
" "," ","1991M08",0,0
" "," ","1991M09",0,0
" "," ","1991M10",0,0
" "," ","1991M11",0,0
" "," ","1991M12",0,0
" "," ","1992M01",0,0
" "," ","1992M02",0,1
" "," ","1992M03",0,0
" "," ","1992M04",0,0
" "," ","1992M05",0,0
" "," ","1992M06",0,0
" "," ","1992M07",0,0
" "," ","1992M08",0,0
" "," ","1992M09",0,0
" "," ","1992M10",0,0
" "," ","1992M11",0,0
" "," ","1992M12",0,0
" "," ","1993M01",0,0
" "," ","1993M02",0,0
" "," ","1993M03",0,0
" "," ","1993M04",0,0
" "," ","1993M05",0,0
" "," ","1993M06",0,0
" "," ","1993M07",0,1
" "," ","1993M08",0,0
" "," ","1993M09",0,0
" "," ","1993M10",1,0
" "," ","1993M11",0,0
" "," ","1993M12",1,0
" "," ","1994M01",0,0
" "," ","1994M02",0,0
" "," ","1994M03",0,0
" "," ","1994M04",0,0
" "," ","1994M05",0,0
" "," ","1994M06",0,0
" "," ","1994M07",0,0
" "," ","1994M08",0,0
" "," ","1994M09",0,0
" "," ","1994M10",0,0
" ","New Caledonia","1989M06",1,0
" "," ","1989M07",2,2
" "," ","1989M08",0,0
" "," ","1989M09",2,1
" "," ","1989M10",0,0
" "," ","1989M11",1,1
" "," ","1989M12",10,0
" "," ","1990M01",0,2
" "," ","1990M02",0,4
" "," ","1990M03",1,1
" "," ","1990M04",0,3
" "," ","1990M05",0,0
" "," ","1990M06",4,1
" "," ","1990M07",2,3
" "," ","1990M08",0,0
" "," ","1990M09",1,0
" "," ","1990M10",0,0
" "," ","1990M11",0,0
" "," ","1990M12",1,0
" "," ","1991M01",0,2
" "," ","1991M02",0,1
" "," ","1991M03",1,1
" "," ","1991M04",1,2
" "," ","1991M05",0,6
" "," ","1991M06",0,1
" "," ","1991M07",0,1
" "," ","1991M08",1,2
" "," ","1991M09",0,0
" "," ","1991M10",0,5
" "," ","1991M11",1,0
" "," ","1991M12",1,0
" "," ","1992M01",0,0
" "," ","1992M02",2,2
" "," ","1992M03",0,11
" "," ","1992M04",1,2
" "," ","1992M05",0,0
" "," ","1992M06",1,1
" "," ","1992M07",0,0
" "," ","1992M08",1,0
" "," ","1992M09",0,3
" "," ","1992M10",1,1
" "," ","1992M11",0,0
" "," ","1992M12",3,3
" "," ","1993M01",0,1
" "," ","1993M02",1,3
" "," ","1993M03",2,3
" "," ","1993M04",1,1
" "," ","1993M05",4,3
" "," ","1993M06",0,0
" "," ","1993M07",3,2
" "," ","1993M08",0,2
" "," ","1993M09",0,1
" "," ","1993M10",3,0
" "," ","1993M11",1,2
" "," ","1993M12",3,0
" "," ","1994M01",3,2
" "," ","1994M02",0,1
" "," ","1994M03",4,0
" "," ","1994M04",3,2
" "," ","1994M05",2,4
" "," ","1994M06",0,0
" "," ","1994M07",2,2
" "," ","1994M08",0,2
" "," ","1994M09",0,0
" "," ","1994M10",0,1
" ","Norfolk Island","1989M06",1,8
" "," ","1989M07",2,1
" "," ","1989M08",2,12
" "," ","1989M09",5,12
" "," ","1989M10",4,7
" "," ","1989M11",4,4
" "," ","1989M12",1,1
" "," ","1990M01",4,3
" "," ","1990M02",4,0
" "," ","1990M03",2,3
" "," ","1990M04",1,2
" "," ","1990M05",4,2
" "," ","1990M06",2,4
" "," ","1990M07",10,3
" "," ","1990M08",3,4
" "," ","1990M09",0,2
" "," ","1990M10",1,10
" "," ","1990M11",2,5
" "," ","1990M12",7,4
" "," ","1991M01",5,5
" "," ","1991M02",3,0
" "," ","1991M03",3,5
" "," ","1991M04",5,7
" "," ","1991M05",4,10
" "," ","1991M06",3,2
" "," ","1991M07",6,7
" "," ","1991M08",2,15
" "," ","1991M09",0,1
" "," ","1991M10",0,7
" "," ","1991M11",4,4
" "," ","1991M12",5,8
" "," ","1992M01",2,3
" "," ","1992M02",4,4
" "," ","1992M03",1,1
" "," ","1992M04",3,4
" "," ","1992M05",5,0
" "," ","1992M06",2,1
" "," ","1992M07",3,2
" "," ","1992M08",3,2
" "," ","1992M09",2,2
" "," ","1992M10",0,2
" "," ","1992M11",15,4
" "," ","1992M12",5,5
" "," ","1993M01",5,9
" "," ","1993M02",5,0
" "," ","1993M03",1,2
" "," ","1993M04",12,0
" "," ","1993M05",0,2
" "," ","1993M06",1,0
" "," ","1993M07",3,1
" "," ","1993M08",0,1
" "," ","1993M09",1,3
" "," ","1993M10",2,5
" "," ","1993M11",1,5
" "," ","1993M12",0,0
" "," ","1994M01",2,1
" "," ","1994M02",6,3
" "," ","1994M03",7,1
" "," ","1994M04",0,3
" "," ","1994M05",1,2
" "," ","1994M06",0,3
" "," ","1994M07",1,6
" "," ","1994M08",2,1
" "," ","1994M09",1,2
" "," ","1994M10",2,7
